id,document,embed_text,concern_area
ISVS-1.1,"**Security Rule:** Every device must be given a unique identity established at manufacture, so a single compromised unit cannot be impersonated by or used to compromise the rest of the fleet.

**Vulnerability Pattern (Description):** Every unit in a product line ships with the same identifier or credential, so cloning or extracting it from one device yields an identity that is accepted for the whole fleet.

**Secure Pattern (Description):** Each unit is assigned a distinct identifier and credential at manufacture, so identities never overlap and a compromise is contained to a single device.

[[C PATTERNS]]
Vulnerable:
```
#define DEVICE_ID ""FLEET-DEVICE-0001""   /* baked into shared firmware */
```
Secure:
```
char device_id[33];
provisioning_read_device_id(device_id, sizeof(device_id));
```

[[C++ PATTERNS]]
Vulnerable:
```
const std::string deviceId = ""FLEET-DEVICE-0001"";
```
Secure:
```
const std::string deviceId = Provisioning::readUniqueDeviceId();
```

[[GENERIC PATTERNS]]
Vulnerable:
```
device_id = ""FLEET-DEVICE-0001""     # same constant flashed to every unit
```
Secure:
```
device_id = read_unique_id_from_provisioning()   # distinct per unit
```

[[PYTHON PATTERNS]]
Vulnerable:
```
DEVICE_ID = ""FLEET-DEVICE-0001""
```
Secure:
```
DEVICE_ID = provisioning.read_unique_id()   # written per unit at factory
```

[[RUST PATTERNS]]
Vulnerable:
```
const DEVICE_ID: &str = ""FLEET-DEVICE-0001"";
```
Secure:
```
let device_id = provisioning::read_unique_id()?;
```","Every device must be given a unique identity established at manufacture, so a single compromised unit cannot be impersonated by or used to compromise the rest of the fleet.
Every unit in a product line ships with the same identifier or credential, so cloning or extracting it from one device yields an identity that is accepted for the whole fleet.
Each unit is assigned a distinct identifier and credential at manufacture, so identities never overlap and a compromise is contained to a single device.",Secure Development & Provisioning
ISVS-1.2,"**Security Rule:** Cryptographic keys and credentials must be provisioned uniquely per device, never shared across a product line, so extracting a secret from one unit does not expose the whole fleet.

**Vulnerability Pattern (Description):** A single hardcoded key or password is embedded in the firmware image that every unit runs, so recovering it once decrypts traffic or grants access for every device.

**Secure Pattern (Description):** A distinct key is generated for each device, either on-device or by a provisioning service, and the shared firmware image contains no secret material at all.

[[C PATTERNS]]
Vulnerable:
```
static const uint8_t AES_KEY[16] = { 0x00, 0x11, 0x22 /* ...shared */ };
```
Secure:
```
uint8_t aes_key[16];
secure_element_get_device_key(aes_key);   /* unique, hardware-held */
```

[[C++ PATTERNS]]
Vulnerable:
```
const std::array<uint8_t, 16> kAesKey = { 0x00, 0x11, 0x22 /* shared */ };
```
Secure:
```
auto aesKey = SecureElement::deriveDeviceKey();   // unique per unit
```

[[GENERIC PATTERNS]]
Vulnerable:
```
device_key = ""S3cret-shared-by-all-units""   # same in every image
```
Secure:
```
device_key = provisioning.fetch_per_device_key(device_id)
```

[[PYTHON PATTERNS]]
Vulnerable:
```
API_KEY = ""S3cret-shared-by-all-units""
```
Secure:
```
API_KEY = provisioning.fetch_per_device_key(DEVICE_ID)
```

[[RUST PATTERNS]]
Vulnerable:
```
const API_KEY: &str = ""S3cret-shared-by-all-units"";
```
Secure:
```
let api_key = provisioning::fetch_per_device_key(&device_id)?;
```","Cryptographic keys and credentials must be provisioned uniquely per device, never shared across a product line, so extracting a secret from one unit does not expose the whole fleet.
A single hardcoded key or password is embedded in the firmware image that every unit runs, so recovering it once decrypts traffic or grants access for every device.
A distinct key is generated for each device, either on-device or by a provisioning service, and the shared firmware image contains no secret material at all.",Secure Development & Provisioning
ISVS-1.3,"**Security Rule:** Device identity should be bound to hardware, such as a secure element or trusted platform module, so the back end can attest a genuine unit and an impostor cannot present a copied identity.

**Vulnerability Pattern (Description):** The device identity key lives in plain flash or a writable file, so it can be read out and replayed from cloned hardware or a software emulator that the back end cannot distinguish from a real device.

**Secure Pattern (Description):** The identity key is generated inside and never leaves a secure element, and the device proves possession by signing a server challenge so the back end can attest the hardware.

[[C PATTERNS]]
Vulnerable:
```
uint8_t key[32];
read_flash(IDENTITY_ADDR, key, sizeof(key));   /* extractable */
```
Secure:
```
uint8_t sig[64];
secure_element_sign(challenge, chal_len, sig);  /* key stays in SE */
```

[[C++ PATTERNS]]
Vulnerable:
```
auto key = Flash::read(kIdentityAddr, 32);
```
Secure:
```
auto sig = Tpm::sign(serverChallenge);   // private key non-exportable
```

[[GENERIC PATTERNS]]
Vulnerable:
```
key = read_file(""/etc/device/identity.key"")   # copyable plaintext key
send_login(key)
```
Secure:
```
signature = secure_element.sign(server_challenge)   # key never exported
send_attestation(signature)
```

[[PYTHON PATTERNS]]
Vulnerable:
```
key = open(""/etc/device/identity.key"", ""rb"").read()
```
Secure:
```
sig = tpm2.sign(challenge, key_handle=ATTESTATION_KEY)
```

[[RUST PATTERNS]]
Vulnerable:
```
let key = std::fs::read(""/etc/device/identity.key"")?;
```
Secure:
```
let sig = secure_element.sign(&server_challenge)?;  // key never leaves SE
```","Device identity should be bound to hardware, such as a secure element or trusted platform module, so the back end can attest a genuine unit and an impostor cannot present a copied identity.
The device identity key lives in plain flash or a writable file, so it can be read out and replayed from cloned hardware or a software emulator that the back end cannot distinguish from a real device.
The identity key is generated inside and never leaves a secure element, and the device proves possession by signing a server challenge so the back end can attest the hardware.",Secure Development & Provisioning
ISVS-1.4,"**Security Rule:** Threat modeling must cover the device, its companion application, and its cloud services together, since the trust boundaries that matter span all three parts of the ecosystem.

**Vulnerability Pattern (Description):** Threat modeling is done for the device firmware alone, so trust boundaries between the device, the mobile app, and the cloud are never analysed and cross-component attack paths go unnoticed.

**Secure Pattern (Description):** A single threat model enumerates the device, companion app, and cloud services as one system, identifying every trust boundary and data flow that crosses between them.

[[GENERIC PATTERNS]]
Vulnerable:
```
# threat-model.md scope: firmware only
components: [device_firmware]
```
Secure:
```
# threat-model.md scope: full ecosystem
components: [device_firmware, companion_app, cloud_services]
trust_boundaries: [device<->app, app<->cloud, device<->cloud]
```","Threat modeling must cover the device, its companion application, and its cloud services together, since the trust boundaries that matter span all three parts of the ecosystem.
Threat modeling is done for the device firmware alone, so trust boundaries between the device, the mobile app, and the cloud are never analysed and cross-component attack paths go unnoticed.
A single threat model enumerates the device, companion app, and cloud services as one system, identifying every trust boundary and data flow that crosses between them.",Secure Development & Provisioning
ISVS-1.5,"**Security Rule:** Onboarding must verify a device's identity before granting it network access or accepting it into the fleet, so an unverified or rogue device is never admitted.

**Vulnerability Pattern (Description):** The onboarding flow adds a device to the network or registers it with the back end first and verifies its identity later, or not at all, so a rogue device is admitted before any check runs.

**Secure Pattern (Description):** The device's identity certificate or attestation is verified up front, and network access is granted only after that check succeeds.

[[C PATTERNS]]
Vulnerable:
```
join_network(dev);
if (!verify_cert(dev)) log_warn(""unverified"");   /* already joined */
```
Secure:
```
if (verify_cert(dev) == OK) {
    join_network(dev);
}
```

[[C++ PATTERNS]]
Vulnerable:
```
mesh.admit(device);
device.verifyIdentity();
```
Secure:
```
if (device.verifyIdentity()) {
    mesh.admit(device);
}
```

[[GENERIC PATTERNS]]
Vulnerable:
```
network.admit(device)
verify_identity(device)        # check runs after access is granted
```
Secure:
```
if verify_identity(device):    # verify first
    network.admit(device)
```

[[PYTHON PATTERNS]]
Vulnerable:
```
fleet.register(device)
if not verify_attestation(device):
    log.warning(""rogue device"")
```
Secure:
```
if verify_attestation(device):
    fleet.register(device)
```

[[RUST PATTERNS]]
Vulnerable:
```
network.admit(&device);
let _ = verify_identity(&device);
```
Secure:
```
if verify_identity(&device)? {
    network.admit(&device);
}
```","Onboarding must verify a device's identity before granting it network access or accepting it into the fleet, so an unverified or rogue device is never admitted.
The onboarding flow adds a device to the network or registers it with the back end first and verifies its identity later, or not at all, so a rogue device is admitted before any check runs.
The device's identity certificate or attestation is verified up front, and network access is granted only after that check succeeds.",Secure Development & Provisioning
ISVS-1.6,"**Security Rule:** Provisioning secrets and onboarding data must be transferred only over an authenticated, encrypted channel, so they cannot be observed or tampered with while a device is being commissioned.

**Vulnerability Pattern (Description):** Provisioning keys or credentials are sent to a device over an unauthenticated or cleartext channel, so anyone on the local network can capture the secret or inject their own provisioning payload.

**Secure Pattern (Description):** Provisioning data travels over a mutually authenticated TLS session, so the secret stays confidential and the device confirms it is talking to the genuine provisioning service.

[[C PATTERNS]]
Vulnerable:
```
send(sock, secret, secret_len, 0);   /* raw TCP, no TLS */
```
Secure:
```
mbedtls_ssl_write(&tls, secret, secret_len);  /* authenticated TLS */
```

[[C++ PATTERNS]]
Vulnerable:
```
httpClient.post(""http://prov.local/enroll"", deviceSecret);
```
Secure:
```
tlsClient.post(""https://prov.example.com/enroll"", deviceSecret);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
send_plaintext(provisioning_url_over_http, device_secret)
```
Secure:
```
send_over_mutual_tls(provisioning_endpoint, device_secret)
```

[[PYTHON PATTERNS]]
Vulnerable:
```
requests.post(""http://prov.local/enroll"", data=device_secret)
```
Secure:
```
requests.post(""https://prov.example.com/enroll"", data=device_secret,
              cert=(""device.crt"", ""device.key""), verify=""ca.pem"")
```

[[RUST PATTERNS]]
Vulnerable:
```
TcpStream::connect(""prov.local:80"")?.write_all(&device_secret)?;
```
Secure:
```
let mut tls = tls_connector.connect(""prov.example.com"", stream)?;
tls.write_all(&device_secret)?;
```","Provisioning secrets and onboarding data must be transferred only over an authenticated, encrypted channel, so they cannot be observed or tampered with while a device is being commissioned.
Provisioning keys or credentials are sent to a device over an unauthenticated or cleartext channel, so anyone on the local network can capture the secret or inject their own provisioning payload.
Provisioning data travels over a mutually authenticated TLS session, so the secret stays confidential and the device confirms it is talking to the genuine provisioning service.",Secure Development & Provisioning
ISVS-1.7,"**Security Rule:** A maintained software and hardware bill of materials must enumerate every firmware component and hardware part with its version, so a vulnerable component can be located across the fleet when an advisory lands.

**Vulnerability Pattern (Description):** No inventory of firmware libraries or hardware parts is kept, so when a vulnerability advisory is published the operator cannot tell which devices contain the affected component.

**Secure Pattern (Description):** A versioned bill of materials is generated as part of the build and kept current, listing every component so advisories can be matched to affected devices.

[[GENERIC PATTERNS]]
Vulnerable:
```
# release artifact: firmware.bin only — no component inventory
```
Secure:
```
# release artifact: firmware.bin + sbom.cdx.json (CycloneDX, versioned)
```

[[PYTHON PATTERNS]]
Vulnerable:
```
# build step ends after compiling the image
build_firmware()
```
Secure:
```
build_firmware()
generate_sbom(output=""sbom.cdx.json"", format=""cyclonedx"")
```

[[RUST PATTERNS]]
Vulnerable:
```
# CI: cargo build --release
```
Secure:
```
# CI: cargo build --release && cargo cyclonedx --format json
```","A maintained software and hardware bill of materials must enumerate every firmware component and hardware part with its version, so a vulnerable component can be located across the fleet when an advisory lands.
No inventory of firmware libraries or hardware parts is kept, so when a vulnerability advisory is published the operator cannot tell which devices contain the affected component.
A versioned bill of materials is generated as part of the build and kept current, listing every component so advisories can be matched to affected devices.",Secure Development & Provisioning
ISVS-1.8,"**Security Rule:** A defined decommissioning path must revoke a device's identity and wipe its credentials and keys when it is retired, returned, or resold, so a device that leaves the operator's control retains no live secrets.

**Vulnerability Pattern (Description):** A retired or returned device keeps its keys and credentials and its identity stays valid on the back end, so whoever obtains the hardware can still authenticate to the fleet.

**Secure Pattern (Description):** Decommissioning revokes the device's identity at the back end and securely erases all on-device keys and credentials, leaving the unit with no usable secret material.

[[C PATTERNS]]
Vulnerable:
```
set_status(dev, STATUS_RETIRED);   /* secrets remain in flash */
```
Secure:
```
backend_revoke_cert(dev->id);
secure_element_zeroize();          /* keys destroyed */
```

[[C++ PATTERNS]]
Vulnerable:
```
device.setState(State::Retired);
```
Secure:
```
Backend::revokeIdentity(device.id());
SecureElement::zeroizeKeys();
```

[[GENERIC PATTERNS]]
Vulnerable:
```
mark_device_inactive(device_id)        # keys left on device, cert still valid
```
Secure:
```
backend.revoke_identity(device_id)
secure_wipe(device_keystore)
```

[[PYTHON PATTERNS]]
Vulnerable:
```
db.update(device_id, status=""retired"")
```
Secure:
```
backend.revoke_identity(device_id)
keystore.secure_erase()
```

[[RUST PATTERNS]]
Vulnerable:
```
device.set_status(Status::Retired);
```
Secure:
```
backend::revoke_identity(&device_id)?;
secure_element::zeroize_keys()?;
```","A defined decommissioning path must revoke a device's identity and wipe its credentials and keys when it is retired, returned, or resold, so a device that leaves the operator's control retains no live secrets.
A retired or returned device keeps its keys and credentials and its identity stays valid on the back end, so whoever obtains the hardware can still authenticate to the fleet.
Decommissioning revokes the device's identity at the back end and securely erases all on-device keys and credentials, leaving the unit with no usable secret material.",Secure Development & Provisioning
ISVS-2.1,"**Security Rule:** Credentials, API tokens, and session or signing keys must be held in a hardware-backed keystore or secure element, never in plaintext application files or shared preferences that an attacker with device access can read.

**Vulnerability Pattern (Description):** The device application writes a credential or key into a plain file, a config entry, or a shared-preferences store, so anyone who can read the storage medium recovers the secret directly.

**Secure Pattern (Description):** Secrets are stored in and used through a hardware-backed keystore or secure element, so the application references a key handle and the raw key material never lands in a readable file.

[[C PATTERNS]]
Vulnerable:
```
FILE *f = fopen(""/data/creds.txt"", ""w"");
fprintf(f, ""key=%s\n"", api_key);
```
Secure:
```
uint32_t slot = 2;
atecc608_write_key(slot, api_key);   // secure element, no plaintext file
```

[[C++ PATTERNS]]
Vulnerable:
```
std::ofstream(""/data/creds.txt"") << ""key="" << apiKey;
```
Secure:
```
KeystoreHandle h = keystore.importKey(""api_key"", apiKey);
keystore.useKey(h);      // key material confined to the keystore
```

[[GENERIC PATTERNS]]
Vulnerable:
```
writeFile(""/data/app/config"", ""api_token="" + token)
```
Secure:
```
handle = secureElement.storeKey(""api_token"", token)
useKey(handle)            # raw token never written to the filesystem
```

[[PYTHON PATTERNS]]
Vulnerable:
```
open(""/data/app/token.cfg"", ""w"").write(api_token)
```
Secure:
```
keyring.set_password(""device-app"", ""api_token"", api_token)
```

[[RUST PATTERNS]]
Vulnerable:
```
std::fs::write(""/data/app/token.cfg"", api_token)?;
```
Secure:
```
keyring::Entry::new(""device-app"", ""api_token"")?.set_password(&api_token)?;
```","Credentials, API tokens, and session or signing keys must be held in a hardware-backed keystore or secure element, never in plaintext application files or shared preferences that an attacker with device access can read.
The device application writes a credential or key into a plain file, a config entry, or a shared-preferences store, so anyone who can read the storage medium recovers the secret directly.
Secrets are stored in and used through a hardware-backed keystore or secure element, so the application references a key handle and the raw key material never lands in a readable file.",Device Application & Data Protection
ISVS-2.2,"**Security Rule:** Personal information, telemetry, and captured media stored on the device must be encrypted at rest with keys the application cannot trivially export, treating the local filesystem as hostile.

**Vulnerability Pattern (Description):** Sensitive records or media are written to device storage as plaintext, so an attacker who reads the flash, SD card, or backup recovers the data in clear form.

**Secure Pattern (Description):** Sensitive data is encrypted with an authenticated cipher before it is written to storage, using a key bound to a hardware keystore or secure element so the key cannot be lifted off the device.

[[C PATTERNS]]
Vulnerable:
```
FILE *f = fopen(""/data/media.bin"", ""wb"");
fwrite(payload, 1, len, f);
```
Secure:
```
uint8_t out[len + 16];
crypto_aead_lock(out, mac, key, nonce, NULL, 0, payload, len);
fwrite(out, 1, sizeof(out), f);
```

[[C++ PATTERNS]]
Vulnerable:
```
std::ofstream(""/data/media.bin"", std::ios::binary).write(buf, len);
```
Secure:
```
auto ct = aead.Encrypt(keystore.Key(""data_at_rest""), nonce, buf, len);
std::ofstream(""/data/media.bin"", std::ios::binary).write(ct.data(), ct.size());
```

[[GENERIC PATTERNS]]
Vulnerable:
```
writeFile(""/data/telemetry.db"", sensitiveRecord)
```
Secure:
```
key = keystore.getKey(""data_at_rest"")
writeFile(""/data/telemetry.db"", aeadEncrypt(key, sensitiveRecord))
```

[[PYTHON PATTERNS]]
Vulnerable:
```
open(""/data/telemetry.db"", ""wb"").write(record)
```
Secure:
```
box = nacl.secret.SecretBox(keystore.get_key(""data_at_rest""))
open(""/data/telemetry.db"", ""wb"").write(box.encrypt(record))
```

[[RUST PATTERNS]]
Vulnerable:
```
std::fs::write(""/data/telemetry.db"", &record)?;
```
Secure:
```
let ct = cipher.encrypt(&nonce, record.as_ref())?;   # AES-GCM
std::fs::write(""/data/telemetry.db"", ct)?;
```","Personal information, telemetry, and captured media stored on the device must be encrypted at rest with keys the application cannot trivially export, treating the local filesystem as hostile.
Sensitive records or media are written to device storage as plaintext, so an attacker who reads the flash, SD card, or backup recovers the data in clear form.
Sensitive data is encrypted with an authenticated cipher before it is written to storage, using a key bound to a hardware keystore or secure element so the key cannot be lifted off the device.",Device Application & Data Protection
