id,document,concern_area
01-spatial-memory-safety,"# Spatial Memory Safety

Spatial memory weaknesses occur when code reads or writes a memory
location outside the bounds of the buffer it was meant to touch. They
are the dominant defect class in C and C++ and the leading cause of
remote code execution and information disclosure in native software.
This concern-area covers out-of-bounds writes (CWE-787), out-of-bounds
reads (CWE-125), the general failure to restrict operations within a
buffer's bounds (CWE-119), heap- and stack-based buffer overflows
(CWE-122, CWE-121), accesses before the start or after the end of a
buffer (CWE-786, CWE-788), and buffer access driven by an incorrect
length value (CWE-805).

**Vulnerability Pattern (Spatial Memory Safety):**

The recurring root cause is an index, offset, or length that is
derived from untrusted input — or from an arithmetic result — without
being checked against the real size of the allocation. Copy loops that
trust a caller-supplied count, pointer arithmetic that walks past a
sentinel, and fixed-size stack buffers filled from variable-length
input are the classic shapes. Off-by-one errors at array boundaries
and confusion between element count and byte count are frequent
contributors.

**Secure Pattern (Spatial Memory Safety):**

Mitigation starts with never trusting a length: validate every index
and size against the destination capacity before the access, and treat
the smaller of source and destination size as the authoritative bound.
Prefer memory-safe constructs — bounded string and container types,
`std::span` or slice types, and standard-library algorithms — over raw
pointer arithmetic. In Rust and Go, keep array and slice indexing
inside checked APIs rather than reaching for `unsafe`. Enable
compiler and allocator hardening (bounds-checking sanitizers in
testing, stack canaries, fortified libc routines) so that residual
defects fail closed instead of corrupting adjacent memory.
",Spatial Memory Safety
02-temporal-memory-safety,"# Temporal Memory Safety

Temporal memory weaknesses occur when code accesses memory at the
wrong point in its lifetime — before it is initialized, or after it
has been freed. Unlike spatial errors, the access can be perfectly
in-bounds; what is wrong is the timing. This concern-area covers
use-after-free (CWE-416), NULL pointer dereference (CWE-476), double
free (CWE-415), missing release of memory after its effective lifetime
(CWE-401), use of an uninitialized pointer (CWE-824), and dereference
of an expired or dangling pointer (CWE-825).

**Vulnerability Pattern (Temporal Memory Safety):**

The root cause is unclear ownership: more than one piece of code
believes it is responsible for the lifetime of an allocation, or no
code is. A pointer is freed on one path and used on another; an object
is released while a reference, iterator, or callback still holds it; an
error path frees a resource the success path also frees; or a pointer
is declared but used before being assigned. Use-after-free is
particularly dangerous because the freed region is often reallocated
under attacker influence, turning a stale read or write into
controlled corruption.

**Secure Pattern (Temporal Memory Safety):**

Mitigation centres on giving every allocation a single, explicit
owner. Use RAII and smart pointers in C++ so release is tied to scope;
set pointers to NULL immediately after freeing and guard frees so they
run exactly once. Check every pointer that could be NULL — especially
allocation and lookup results — before dereferencing it. In Rust, lean
on the borrow checker and avoid `unsafe` aliasing; in garbage-collected
and Go code, watch for resources (files, handles, native buffers) that
escape their intended scope. AddressSanitizer and similar tools should
gate merges, since temporal bugs are otherwise easy to miss in review.
",Temporal Memory Safety
03-numeric-type-conversion-errors,"# Numeric, Type & Conversion Errors

Numeric and type weaknesses occur when a value behaves differently
from what the developer assumed because of the limits of its
representation. They rarely cause harm on their own, but they routinely
feed a more serious defect — an undersized allocation, a bypassed
bounds check, or a corrupted decision. This concern-area covers integer
overflow and wraparound (CWE-190), integer underflow (CWE-191), divide
by zero (CWE-369), incorrect conversion between numeric types (CWE-681),
unexpected sign extension (CWE-194), signed-to-unsigned conversion
errors (CWE-195), incorrect type conversion or cast (CWE-704), and type
confusion (CWE-843).

**Vulnerability Pattern (Numeric, Type & Conversion Errors):**

The recurring root cause is arithmetic or conversion performed without
regard for range and signedness. A size computed by multiplying two
attacker-influenced values wraps to a small number, so the subsequent
allocation is too small. A length stored as a signed integer goes
negative and defeats a `length < limit` check. A wide value is
truncated when narrowed, or a negative value becomes huge when
reinterpreted as unsigned. Type confusion arises when memory is
interpreted as the wrong object type, often after an unchecked cast or
a tagged-union mismatch.

**Secure Pattern (Numeric, Type & Conversion Errors):**

Mitigation begins with validating numeric inputs against an explicit
range before they are used in arithmetic, indexing, or allocation.
Perform size calculations in a width that cannot overflow, or use
checked-arithmetic helpers that signal overflow instead of wrapping.
Be deliberate about signedness — prefer unsigned types for sizes and
counts, and avoid mixing signed and unsigned operands. Guard divisors
against zero. Treat every cast as a place where an assumption is being
made, and verify the runtime type before down-casting.
","Numeric, Type & Conversion Errors"
04-os-command-injection,"# OS & Command Injection

Command injection weaknesses occur when untrusted input reaches an
operating-system command interpreter or process launcher and is able
to change what gets executed rather than only what data is processed.
This concern-area covers improper neutralization of special elements
used in an OS command (CWE-78), the broader command injection class
(CWE-77), and argument injection or modification (CWE-88).

**Vulnerability Pattern (OS & Command Injection):**

The root cause is building a command line by string concatenation and
handing it to a shell. The shell then interprets metacharacters —
semicolons, pipes, backticks, `$()`, ampersands, redirections — that
the attacker supplied, so a parameter that was meant to be a filename
becomes a second command. Argument injection is the subtler variant:
even with no shell involved, untrusted text inserted into an argument
list can introduce option flags that change a program's behaviour, for
example turning a search term into a flag that writes a file.

**Secure Pattern (OS & Command Injection):**

Mitigation starts with avoiding the shell entirely. Invoke programs
through array-based APIs that pass arguments as a vector, so the
operating system never re-parses them; never pass `shell=True` or its
equivalents with untrusted content. Where a value must be an argument,
validate it against a strict allowlist of expected forms and reject
anything else, and use `--` to terminate option parsing so input cannot
masquerade as a flag. Prefer a native library call over spawning a
process at all. If a shell is unavoidable, the only safe approach is a
rigorous allowlist of permitted values — escaping is error-prone and
should not be relied on.
",OS & Command Injection
05-code-injection-unsafe-deserialization,"# Code Injection & Unsafe Deserialization

These weaknesses occur when untrusted input is interpreted as code,
markup, or a serialized object graph instead of as inert data. The
result is that the attacker, not the developer, decides what logic the
program runs. This concern-area covers improper control of generation
of code (CWE-94), deserialization of untrusted data (CWE-502), eval
injection (CWE-95), and improper neutralization of special elements in
a template engine, also known as server-side template injection
(CWE-1336).

**Vulnerability Pattern (Code Injection & Unsafe Deserialization):**

The root cause is feeding attacker-influenced data into a
language-level evaluation primitive. Dynamic-evaluation functions —
`eval`, `exec`, `Function`, runtime compilation — execute whatever they
are given. Native deserializers reconstruct arbitrary object types and
may invoke constructors, setters, or magic methods during the rebuild,
so a crafted payload can reach a gadget chain that runs code. Template
engines are an injection surface whenever user input is concatenated
into the template source rather than passed as a bound value.

**Secure Pattern (Code Injection & Unsafe Deserialization):**

Mitigation begins with never evaluating untrusted input as code. Remove
dynamic-evaluation calls where a data-driven design — a lookup table, a
dispatch map, a parser for a constrained grammar — will do. For
serialized data, prefer a pure data format such as JSON with a schema,
and deserialize into known, explicitly-typed structures; if a native
serializer must be used, restrict it to an allowlist of permitted
classes and apply integrity protection so payloads cannot be tampered
with. Pass user data to template engines only as context variables,
never as part of the template text, and keep template definitions out
of attacker control.
",Code Injection & Unsafe Deserialization
06-web-injection,"# Web Injection

Web injection weaknesses occur when untrusted input crosses into an
interpreted context — an HTML page, a SQL statement, an LDAP filter, an
XML document, or another query language — and is treated as structure
rather than as a value. This concern-area covers cross-site scripting
(CWE-79), SQL injection (CWE-89), LDAP injection (CWE-90), XML
injection (CWE-91), and the general improper neutralization of special
elements in data query logic (CWE-943), which spans NoSQL and other
query languages.

**Vulnerability Pattern (Web Injection):**

The root cause is the same across all of them: a string is assembled
by concatenating a fixed template with untrusted input, then handed to
an interpreter that cannot tell which characters came from the
developer and which from the attacker. In SQL and similar query
languages this lets input add clauses or terminate the statement; in
HTML it lets input introduce `<script>` or event handlers that run in
the victim's session.

**Secure Pattern (Web Injection):**

Mitigation is to keep code and data separate by construction. For
databases, use parameterized queries or prepared statements so values
are bound, never concatenated; an ORM or query builder achieves the
same when used without raw string fragments. For LDAP, XML, and NoSQL,
use the binding or builder APIs the platform provides and escape
special elements with a context-aware encoder when binding is not
available. For XSS, apply output encoding appropriate to the exact
sink — HTML body, attribute, JavaScript, URL — at the point of output,
prefer frameworks that auto-escape, and add a Content Security Policy
as defence in depth. Input validation narrows the attack surface but
is not a substitute for context-correct encoding at the sink.
",Web Injection
07-improper-input-validation,"# Improper Input Validation

Input-validation weaknesses occur when a program accepts data without
confirming that it has the properties the rest of the code assumes. The
data then violates an invariant somewhere downstream — an index goes
out of range, a quantity drives an oversized loop, a value of the wrong
type reaches code that cannot handle it. This concern-area covers
improper input validation in general (CWE-20), improper validation of
an array index (CWE-129), improper validation of a specified quantity
in input (CWE-1284), and improper validation of a specified type of
input (CWE-1287).

**Vulnerability Pattern (Improper Input Validation):**

The root cause is an implicit trust boundary. Code at the edge of the
system — request handlers, file parsers, message consumers, IPC
endpoints — treats incoming data as already well-formed, so the checks
that should happen once at entry are scattered, partial, or absent.
Validation that exists is often incomplete: it checks format but not
range, or rejects known-bad values instead of requiring known-good
ones, leaving every unanticipated input to slip through.

**Secure Pattern (Improper Input Validation):**

Mitigation is to validate at the trust boundary, before the data is
used, against a positive specification. Define what each field must be
— its type, length, range, format, and permitted set — and reject
anything that does not match, rather than trying to enumerate bad
input. Validate array indices and quantities against the actual size
of the structure they will drive. Convert input to its intended type
explicitly and handle the failure case. Centralise validation so it
cannot be skipped on an alternate code path, and fail closed when a
value cannot be confirmed safe.
",Improper Input Validation
08-external-resource-access,"# External Resource Access

These weaknesses occur when untrusted input controls *which* external
resource a program reaches — a file, a directory, or a network
endpoint — rather than only the data exchanged with it. This
concern-area covers path traversal (CWE-22), unrestricted upload of a
file with a dangerous type (CWE-434), server-side request forgery
(CWE-918), relative and absolute path traversal (CWE-23, CWE-36),
improper link resolution before file access (CWE-59), and external
control of a file name or path (CWE-73).

**Vulnerability Pattern (External Resource Access):**

The root cause is using attacker-influenced input to build a resource
identifier without confirming the identifier stays inside the intended
boundary. A filename containing `../` escapes the base directory; a
symlink redirects an access to a sensitive target; an uploaded file
with an executable extension lands in a served directory; a URL fetched
on the user's behalf points instead at an internal service or a cloud
metadata endpoint, turning the server into a proxy for the attacker.

**Secure Pattern (External Resource Access):**

Mitigation is to constrain the resource, not just sanitise the input.
For file paths, resolve the candidate to its canonical absolute form
and verify it is still within the permitted base directory before
opening it; prefer mapping user input through an indirection table to
known paths. For uploads, validate type by content rather than
extension, store files outside any served or executable location, and
assign server-generated names. For outbound requests, validate the
destination against an allowlist of permitted hosts, resolve and
re-check the address to defeat DNS rebinding, block private and
link-local ranges, and disable automatic redirects so a benign URL
cannot be bounced to an internal one.
",External Resource Access
09-authentication-credential-management,"# Authentication & Credential Management

These weaknesses occur when a system fails to reliably establish who is
making a request, or fails to protect the secrets that identity
depends on. This concern-area covers improper authentication
(CWE-287), missing authentication for a critical function (CWE-306),
use of hard-coded credentials (CWE-798), use of a hard-coded password
(CWE-259), insufficiently protected credentials (CWE-522), weak
password requirements (CWE-521), and session fixation (CWE-384).

**Vulnerability Pattern (Authentication & Credential Management):**

The root causes split into two families. The first is gaps in
enforcement: a sensitive endpoint, administrative function, or
internal API is reachable without an authentication check, or the
check can be bypassed on an alternate path. The second is mishandled
credentials: passwords or API keys embedded in source or configuration,
secrets stored or transmitted without protection, password rules that
permit trivially guessable values, and session identifiers that are
not refreshed at login so a pre-authentication identifier survives into
the authenticated session.

**Secure Pattern (Authentication & Credential Management):**

Mitigation requires authenticating every entry point to a protected
resource, with the check enforced server-side and centrally so it
cannot be skipped. Keep secrets out of code and version control; load
them from a secrets manager or injected configuration, and rotate them.
Store passwords only as salted hashes from a slow, purpose-built
algorithm, never reversibly. Set credential strength by encouraging
length and screening against known-breached values rather than
imposing brittle composition rules. Issue a fresh session identifier
on every authentication and privilege change, bind sessions to a
reasonable lifetime, and prefer established identity frameworks over
bespoke authentication code.
",Authentication & Credential Management
10-authorization-access-control,"# Authorization & Access Control

Authorization weaknesses occur when an authenticated identity is
allowed to perform an action or reach data it should not. Authentication
establishes who the caller is; authorization decides what that caller
may do, and this concern-area is about failures of the second step. It
covers missing authorization (CWE-862), incorrect authorization
(CWE-863), cross-site request forgery (CWE-352), authorization bypass
through a user-controlled key (CWE-639), incorrect permission
assignment for a critical resource (CWE-732), and improper
authorization in general (CWE-285).

**Vulnerability Pattern (Authorization & Access Control):**

The root cause is most often a check that is absent, in the wrong
place, or trusting the wrong input. An object is fetched directly by an
identifier taken from the request, with no test that the caller owns
it — the insecure direct object reference pattern behind CWE-639.
Authorization is enforced only in the UI, or only on some of the
endpoints that expose an operation. A check uses a role or permission
value supplied by the client. CSRF is the related failure of not
confirming that a state-changing request was genuinely intended by the
user whose credentials it carries.

**Secure Pattern (Authorization & Access Control):**

Mitigation is to perform an explicit authorization decision on the
server for every request that touches a protected resource, checking
the authenticated subject against the specific object and action.
Derive ownership and roles from server-side state, never from the
request body. Apply the checks through a single chokepoint so no
endpoint is missed, and default to deny. Protect state-changing
requests against CSRF with anti-forgery tokens or equivalent
same-site request validation. Grant the minimum permissions a resource
needs, and review permission assignments on files and objects so they
are not world-accessible.
",Authorization & Access Control
