id,document,embed_text,concern_area
PC-C1.1,"**Security Rule:** Every access decision must default to denial, granting access only when an explicit rule permits it, so any unmatched, unmapped, or new route or action is rejected rather than allowed.

**Vulnerability Pattern (Description):** The authorization logic permits access unless a rule explicitly forbids it, so a request that matches no rule, or a route added after the rules were written, is allowed through by accident.

**Secure Pattern (Description):** The authorization logic starts from a denied state and flips to allowed only when a matching grant is found, so anything not explicitly permitted is refused.

[[C# PATTERNS]]
Vulnerable:
```
var allowed = !Denied.Contains(action);
```
Secure:
```
var allowed = Permissions.TryGetValue(user.Role, out var p)
    && p.Contains(action);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
allowed = true
for rule in denyRules: if rule.matches(req): allowed = false
```
Secure:
```
allowed = false
for rule in grantRules: if rule.matches(req): allowed = true
```

[[JAVA PATTERNS]]
Vulnerable:
```
boolean allowed = true;
if (DENIED.contains(action)) allowed = false;
```
Secure:
```
boolean allowed = permissions
    .getOrDefault(user.getRole(), Set.of()).contains(action);
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
function authorize(user, action) {
  return !deniedActions.includes(action);
}
```
Secure:
```
function authorize(user, action) {
  return (rolePermissions[user.role] || []).includes(action);
}
```

[[PYTHON PATTERNS]]
Vulnerable:
```
def can_access(user, action):
    if action in EXPLICITLY_DENIED:
        return False
    return True
```
Secure:
```
def can_access(user, action):
    return action in PERMISSIONS.get(user.role, set())
```","Every access decision must default to denial, granting access only when an explicit rule permits it, so any unmatched, unmapped, or new route or action is rejected rather than allowed.
The authorization logic permits access unless a rule explicitly forbids it, so a request that matches no rule, or a route added after the rules were written, is allowed through by accident.
The authorization logic starts from a denied state and flips to allowed only when a matching grant is found, so anything not explicitly permitted is refused.",Access Control
PC-C1.2,"**Security Rule:** Access control decisions must be made and enforced by trusted server-side code; client-side checks are only a usability aid and must never be the gate that protects a resource.

**Vulnerability Pattern (Description):** The server trusts a hidden form field, a request parameter, a cookie, or the mere absence of a UI element to convey a user's privileges, so a crafted request that the browser would never send bypasses the check entirely.

**Secure Pattern (Description):** The server re-derives the caller's identity and privileges from a trusted session or token and performs the authorization check itself on every request, ignoring any role or permission claimed by the client.

[[C# PATTERNS]]
Vulnerable:
```
if (Request.Form[""role""] == ""admin"") DeleteUser(id);
```
Secure:
```
if (User.IsInRole(""admin"")) DeleteUser(id);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
if request.param(""isAdmin"") == ""true"": deleteAccount(id)
```
Secure:
```
if session.user.role == ""admin"": deleteAccount(id)
```

[[JAVA PATTERNS]]
Vulnerable:
```
if (""admin"".equals(request.getParameter(""role""))) deleteUser(id);
```
Secure:
```
if (authService.currentUser().hasRole(""admin"")) deleteUser(id);
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
if (req.body.role === ""admin"") deleteUser(req.body.targetId);
```
Secure:
```
if (req.user.role === ""admin"") deleteUser(req.body.targetId);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
if request.form.get(""role"") == ""admin"":
    delete_user(target_id)
```
Secure:
```
if current_user.is_admin:
    delete_user(target_id)
```","Access control decisions must be made and enforced by trusted server-side code; client-side checks are only a usability aid and must never be the gate that protects a resource.
The server trusts a hidden form field, a request parameter, a cookie, or the mere absence of a UI element to convey a user's privileges, so a crafted request that the browser would never send bypasses the check entirely.
The server re-derives the caller's identity and privileges from a trusted session or token and performs the authorization check itself on every request, ignoring any role or permission claimed by the client.",Access Control
PC-C1.3,"**Security Rule:** When a request names a specific record by an identifier, the server must verify the authenticated caller owns or is otherwise entitled to that record before acting, preventing insecure direct object references.

**Vulnerability Pattern (Description):** A record is looked up by an identifier taken straight from the request and returned or modified without checking who owns it, so any user can read or change another user's data by changing the id.

**Secure Pattern (Description):** The lookup is constrained to records the caller is entitled to — typically by adding the caller's user id to the query predicate — so a request for someone else's record returns nothing.

[[C# PATTERNS]]
Vulnerable:
```
var file = _db.Files.Find(id);
```
Secure:
```
var file = _db.Files.FirstOrDefault(
    f => f.Id == id && f.OwnerId == currentUser.Id);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
record = db.find(Invoice, request.param(""id""))
```
Secure:
```
record = db.find(Invoice, id=request.param(""id""),
                  owner_id=session.user.id)
```

[[JAVA PATTERNS]]
Vulnerable:
```
Document doc = repo.findById(id).orElseThrow();
```
Secure:
```
Document doc = repo.findByIdAndOwnerId(id, currentUser.getId())
    .orElseThrow(ForbiddenException::new);
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const order = await Order.findById(req.params.id);
```
Secure:
```
const order = await Order.findOne({
  _id: req.params.id, ownerId: req.user.id });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
invoice = Invoice.query.get(request.args[""id""])
```
Secure:
```
invoice = Invoice.query.filter_by(
    id=request.args[""id""], owner_id=current_user.id).first_or_404()
```","When a request names a specific record by an identifier, the server must verify the authenticated caller owns or is otherwise entitled to that record before acting, preventing insecure direct object references.
A record is looked up by an identifier taken straight from the request and returned or modified without checking who owns it, so any user can read or change another user's data by changing the id.
The lookup is constrained to records the caller is entitled to — typically by adding the caller's user id to the query predicate — so a request for someone else's record returns nothing.",Access Control
PC-C1.4,"**Security Rule:** Every user, service account, token, and process must be granted only the minimum permissions needed for its task, and elevated rights must be scoped narrowly and revoked when no longer required.

**Vulnerability Pattern (Description):** A component runs with broad rights — a shared admin database account, a wildcard cloud policy, or a token with full scope — so any flaw in that component immediately exposes far more than it ever needed.

**Secure Pattern (Description):** Each component is given a dedicated identity scoped to exactly the actions and resources it uses, so a compromise is contained to that narrow surface.

[[C# PATTERNS]]
Vulnerable:
```
var conn = new SqlConnection(""Server=db;User Id=sa;Password=pw;"");
```
Secure:
```
var conn = new SqlConnection(""Server=db;User Id=reports_reader;Password=pw;"");
```

[[GENERIC PATTERNS]]
Vulnerable:
```
connect(db, user=""root"", password=secret)   # full DBA rights
```
Secure:
```
connect(db, user=""orders_svc"", password=secret)  # SELECT/INSERT on orders
```

[[JAVA PATTERNS]]
Vulnerable:
```
var policy = AwsPolicy.allow(""s3:*"", ""*"");
```
Secure:
```
var policy = AwsPolicy.allow(""s3:GetObject"", ""arn:aws:s3:::reports/*"");
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const token = jwt.sign({ sub: id, scope: ""*"" }, key);
```
Secure:
```
const token = jwt.sign({ sub: id, scope: ""orders:read"" }, key);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
engine = create_engine(""postgresql://admin:pw@db/app"")
```
Secure:
```
engine = create_engine(""postgresql://orders_ro:pw@db/app"")  # read-only role
```","Every user, service account, token, and process must be granted only the minimum permissions needed for its task, and elevated rights must be scoped narrowly and revoked when no longer required.
A component runs with broad rights — a shared admin database account, a wildcard cloud policy, or a token with full scope — so any flaw in that component immediately exposes far more than it ever needed.
Each component is given a dedicated identity scoped to exactly the actions and resources it uses, so a compromise is contained to that narrow surface.",Access Control
PC-C1.5,"**Security Rule:** Authorization decisions must flow through a single, well-tested component or policy layer rather than being re-implemented inline at each call site, so the rules stay consistent and auditable.

**Vulnerability Pattern (Description):** Each endpoint hand-codes its own role and permission checks, so the logic drifts between handlers, a new endpoint silently ships with no check, and a rule change has to be found and applied in many places.

**Secure Pattern (Description):** A shared authorization service, decorator, middleware, or policy object evaluates every access decision against one rule set, so all endpoints enforce the same logic and an added endpoint inherits it.

[[C# PATTERNS]]
Vulnerable:
```
public IActionResult Delete(int id) {
  if (!User.IsInRole(""Admin"")) return Forbid();
}
```
Secure:
```
[Authorize(Policy = ""post:delete"")]
public IActionResult Delete(int id) { ... }
```

[[GENERIC PATTERNS]]
Vulnerable:
```
def handler(req): if req.user.role == ""editor"" or req.user.role == ""admin"": ...
```
Secure:
```
@requires_permission(""article:edit"")
def handler(req): ...
```

[[JAVA PATTERNS]]
Vulnerable:
```
public void delete(Long id) {
  if (!user.getRole().equals(""ADMIN"")) throw new ForbiddenException();
}
```
Secure:
```
@PreAuthorize(""hasAuthority('post:delete')"")
public void delete(Long id) { ... }
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
app.delete(""/posts/:id"", (req, res) => {
  if (req.user.role !== ""admin"") return res.sendStatus(403);
});
```
Secure:
```
app.delete(""/posts/:id"", requirePermission(""post:delete""), handler);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
@app.put(""/articles/{id}"")
def update(id, user=Depends(current_user)):
    if user.role not in (""editor"", ""admin""):
        raise HTTPException(403)
```
Secure:
```
@app.put(""/articles/{id}"")
def update(id, _=Depends(require_permission(""article:edit""))):
    ...
```","Authorization decisions must flow through a single, well-tested component or policy layer rather than being re-implemented inline at each call site, so the rules stay consistent and auditable.
Each endpoint hand-codes its own role and permission checks, so the logic drifts between handlers, a new endpoint silently ships with no check, and a rule change has to be found and applied in many places.
A shared authorization service, decorator, middleware, or policy object evaluates every access decision against one rule set, so all endpoints enforce the same logic and an added endpoint inherits it.",Access Control
PC-C1.6,"**Security Rule:** When an authorization check throws an error, times out, or returns an indeterminate result, the system must treat that outcome as a denial rather than allowing the request to proceed.

**Vulnerability Pattern (Description):** An exception in the permission check is swallowed, or a catch block falls through, leaving execution to continue past the gate as though access had been granted.

**Secure Pattern (Description):** Any error or ambiguous result from the authorization path is caught and converted into an explicit denial before the protected operation is reached.

[[C# PATTERNS]]
Vulnerable:
```
bool allowed;
try { allowed = _policy.Check(user, res); }
catch { allowed = true; }
```
Secure:
```
bool allowed = false;
try { allowed = _policy.Check(user, res); }
catch { allowed = false; }
```

[[GENERIC PATTERNS]]
Vulnerable:
```
try: allowed = check(user, res)
except: pass            # allowed stays whatever it was
```
Secure:
```
try: allowed = check(user, res)
except: allowed = false
```

[[JAVA PATTERNS]]
Vulnerable:
```
boolean allowed;
try { allowed = policy.check(user, res); }
catch (Exception e) { allowed = true; }
```
Secure:
```
boolean allowed = false;
try { allowed = policy.check(user, res); }
catch (Exception e) { allowed = false; }
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
let allowed;
try { allowed = await checkAccess(user, res); }
catch (e) { allowed = true; }
```
Secure:
```
let allowed = false;
try { allowed = await checkAccess(user, res); }
catch (e) { allowed = false; }
```

[[PYTHON PATTERNS]]
Vulnerable:
```
try:
    authorized = policy.evaluate(user, resource)
except PolicyError:
    authorized = True
```
Secure:
```
try:
    authorized = policy.evaluate(user, resource)
except PolicyError:
    authorized = False
```","When an authorization check throws an error, times out, or returns an indeterminate result, the system must treat that outcome as a denial rather than allowing the request to proceed.
An exception in the permission check is swallowed, or a catch block falls through, leaving execution to continue past the gate as though access had been granted.
Any error or ambiguous result from the authorization path is caught and converted into an explicit denial before the protected operation is reached.",Access Control
PC-C1.7,"**Security Rule:** Authorization must be enforced on every state-changing and data-returning function — including APIs, background actions, and administrative routes — not only on the functions reachable from the navigation a normal user sees.

**Vulnerability Pattern (Description):** A sensitive function is protected only because the UI hides its link, while the underlying route, API endpoint, or method has no check, so a user who guesses or forces the URL reaches it directly.

**Secure Pattern (Description):** Each sensitive function carries its own server-side authorization check independent of the UI, so reaching it by any path still requires the appropriate permission.

[[C# PATTERNS]]
Vulnerable:
```
[HttpGet(""admin/report"")]
public Report Report() => _reports.Build();
```
Secure:
```
[Authorize(Roles = ""Admin"")]
[HttpGet(""admin/report"")]
public Report Report() => _reports.Build();
```

[[GENERIC PATTERNS]]
Vulnerable:
```
# /admin/export has no check — only hidden from the menu
def admin_export(): return dump_all_users()
```
Secure:
```
@requires_role(""admin"")
def admin_export(): return dump_all_users()
```

[[JAVA PATTERNS]]
Vulnerable:
```
@GetMapping(""/admin/report"")
public Report report() { return reportService.build(); }
```
Secure:
```
@PreAuthorize(""hasRole('ADMIN')"")
@GetMapping(""/admin/report"")
public Report report() { return reportService.build(); }
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
router.get(""/admin/metrics"", (req, res) => res.json(getMetrics()));
```
Secure:
```
router.get(""/admin/metrics"", requireRole(""admin""),
           (req, res) => res.json(getMetrics()));
```

[[PYTHON PATTERNS]]
Vulnerable:
```
@app.get(""/api/admin/users"")
def list_users():
    return User.query.all()
```
Secure:
```
@app.get(""/api/admin/users"")
def list_users(_=Depends(require_role(""admin""))):
    return User.query.all()
```","Authorization must be enforced on every state-changing and data-returning function — including APIs, background actions, and administrative routes — not only on the functions reachable from the navigation a normal user sees.
A sensitive function is protected only because the UI hides its link, while the underlying route, API endpoint, or method has no check, so a user who guesses or forces the URL reaches it directly.
Each sensitive function carries its own server-side authorization check independent of the UI, so reaching it by any path still requires the appropriate permission.",Access Control
PC-C1.8,"**Security Rule:** When a decision depends on context — the resource's attributes, the relationship between caller and resource, time, or location — use an attribute or relationship based model rather than coarse static roles that cannot express the rule.

**Vulnerability Pattern (Description):** A coarse role check stands in for a contextual rule, so a user with the right role can act on resources outside their team, region, or relationship because the role alone cannot capture the constraint.

**Secure Pattern (Description):** The decision evaluates the caller's attributes against the resource's attributes — for example matching department, tenant, or assignment — so permission depends on the actual relationship, not just the role.

[[C# PATTERNS]]
Vulnerable:
```
if (user.Role == ""Manager"") Approve(expense);
```
Secure:
```
if (user.Role == ""Manager"" && user.TenantId == expense.TenantId)
    Approve(expense);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
if user.role == ""manager"": approve(expense)
```
Secure:
```
if user.role == ""manager"" and user.dept == expense.dept:
    approve(expense)
```

[[JAVA PATTERNS]]
Vulnerable:
```
if (user.hasRole(""MANAGER"")) approve(expense);
```
Secure:
```
if (user.hasRole(""MANAGER"")
        && user.getDeptId().equals(expense.getDeptId()))
    approve(expense);
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
if (user.role === ""manager"") approveExpense(expense);
```
Secure:
```
if (user.role === ""manager"" && user.teamId === expense.teamId)
  approveExpense(expense);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
if current_user.role == ""manager"":
    approve(expense)
```
Secure:
```
if current_user.role == ""manager"" \
        and current_user.department_id == expense.department_id:
    approve(expense)
```","When a decision depends on context — the resource's attributes, the relationship between caller and resource, time, or location — use an attribute or relationship based model rather than coarse static roles that cannot express the rule.
A coarse role check stands in for a contextual rule, so a user with the right role can act on resources outside their team, region, or relationship because the role alone cannot capture the constraint.
The decision evaluates the caller's attributes against the resource's attributes — for example matching department, tenant, or assignment — so permission depends on the actual relationship, not just the role.",Access Control
PC-C1.9,"**Security Rule:** Failed authorization attempts must be logged with the caller identity, the resource, and the action so that probing, privilege escalation attempts, and broken-access-control abuse are detectable.

**Vulnerability Pattern (Description):** A denied request is rejected silently with only an error response, so a user systematically enumerating resources or roles leaves no trail for monitoring or alerting to act on.

**Secure Pattern (Description):** Every authorization denial emits a structured security log event recording who was denied, what they tried to reach, and the action, feeding detection and alerting.

[[C# PATTERNS]]
Vulnerable:
```
if (!allowed) return Forbid();
```
Secure:
```
if (!allowed) {
  _logger.LogWarning(""authz_denied user={User} resource={Res} action={Act}"",
      user.Id, resourceId, action);
  return Forbid();
}
```

[[GENERIC PATTERNS]]
Vulnerable:
```
if not allowed: return deny()
```
Secure:
```
if not allowed:
    securityLog.warn(""authz_denied"", user=user.id, resource=res, action=act)
    return deny()
```

[[JAVA PATTERNS]]
Vulnerable:
```
if (!allowed) throw new ForbiddenException();
```
Secure:
```
if (!allowed) {
  securityLog.warn(""authz_denied user={} resource={} action={}"",
      user.getId(), resourceId, action);
  throw new ForbiddenException();
}
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
if (!allowed) return res.sendStatus(403);
```
Secure:
```
if (!allowed) {
  logger.warn({ event: ""authz_denied"", user: user.id, resource, action });
  return res.sendStatus(403);
}
```

[[PYTHON PATTERNS]]
Vulnerable:
```
if not authorized:
    raise HTTPException(403)
```
Secure:
```
if not authorized:
    log.warning(""authz_denied user=%s resource=%s action=%s"",
                user.id, resource_id, action)
    raise HTTPException(403)
```","Failed authorization attempts must be logged with the caller identity, the resource, and the action so that probing, privilege escalation attempts, and broken-access-control abuse are detectable.
A denied request is rejected silently with only an error response, so a user systematically enumerating resources or roles leaves no trail for monitoring or alerting to act on.
Every authorization denial emits a structured security log event recording who was denied, what they tried to reach, and the action, feeding detection and alerting.",Access Control
PC-C2.1,"**Security Rule:** Encrypting data must use an authenticated encryption mode that provides both confidentiality and integrity, so ciphertext tampering is detected on decryption rather than silently accepted.

**Vulnerability Pattern (Description):** Data is encrypted with an unauthenticated mode such as ECB or raw CBC, so the ciphertext carries no integrity tag and an attacker can flip bits or reorder blocks without detection.

**Secure Pattern (Description):** An authenticated encryption mode such as AES-GCM or ChaCha20-Poly1305 is used, producing an authentication tag that decryption verifies before returning any plaintext.

[[C# PATTERNS]]
Vulnerable:
```
using var aes = Aes.Create();   // CBC, no integrity tag
```
Secure:
```
using var gcm = new AesGcm(key, 16);
gcm.Encrypt(nonce, plaintext, ciphertext, tag);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
ciphertext = aesEncrypt(key, plaintext, mode=""CBC"")
```
Secure:
```
ciphertext, tag = aesGcmEncrypt(key, nonce, plaintext)
```

[[JAVA PATTERNS]]
Vulnerable:
```
Cipher c = Cipher.getInstance(""AES/CBC/PKCS5Padding"");
```
Secure:
```
Cipher c = Cipher.getInstance(""AES/GCM/NoPadding"");
c.init(Cipher.ENCRYPT_MODE, key, new GCMParameterSpec(128, nonce));
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const c = crypto.createCipheriv(""aes-256-cbc"", key, iv);
```
Secure:
```
const c = crypto.createCipheriv(""aes-256-gcm"", key, nonce);
const ct = Buffer.concat([c.update(pt), c.final(), c.getAuthTag()]);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
cipher = Cipher(algorithms.AES(key), modes.CBC(iv)).encryptor()
```
Secure:
```
ct = AESGCM(key).encrypt(nonce, plaintext, associated_data=None)
```","Encrypting data must use an authenticated encryption mode that provides both confidentiality and integrity, so ciphertext tampering is detected on decryption rather than silently accepted.
Data is encrypted with an unauthenticated mode such as ECB or raw CBC, so the ciphertext carries no integrity tag and an attacker can flip bits or reorder blocks without detection.
An authenticated encryption mode such as AES-GCM or ChaCha20-Poly1305 is used, producing an authentication tag that decryption verifies before returning any plaintext.",Cryptographic Practices
