id,document,embed_text,concern_area
AGENTIC-T1.1,"**Security Rule:** Content derived from tool output, retrieved documents, or other agents must be validated and provenance-tagged before it is written into an agent's persistent memory store.

**Vulnerability Pattern (Description):** Whatever a tool or sub-agent returns is appended verbatim into the long-term memory store, so an attacker who controls one tool result can plant instructions that steer every later turn.

**Secure Pattern (Description):** Before a value is persisted it is validated against an expected schema, length-bounded, and stamped with a provenance label such as untrusted-tool-output so later reads can treat it accordingly.

[[GENERIC PATTERNS]]
Vulnerable:
```
memory.append(toolResult)              # raw tool output persisted
```
Secure:
```
record = validate(toolResult, schema=ToolResultSchema)
memory.append(record.tagged(provenance=""untrusted-tool""))
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
await memory.put({ text: toolResult });
```
Secure:
```
const safe = schema.parse({ text: toolResult.slice(0, MAX_LEN) });
await memory.put({ ...safe, provenance: ""untrusted_tool"" });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
store.add(MemoryItem(text=tool_output))
```
Secure:
```
item = MemoryItem(text=clean(tool_output)[:MAX_LEN],
                  provenance=""untrusted_tool"", trusted=False)
store.add(item)
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
await memory.put({ text: toolResult } as MemoryItem);
```
Secure:
```
const item: MemoryItem = MemoryItemSchema.parse({
  text: toolResult.slice(0, MAX_LEN), provenance: ""untrusted_tool"" });
await memory.put(item);
```","Content derived from tool output, retrieved documents, or other agents must be validated and provenance-tagged before it is written into an agent's persistent memory store.
Whatever a tool or sub-agent returns is appended verbatim into the long-term memory store, so an attacker who controls one tool result can plant instructions that steer every later turn.
Before a value is persisted it is validated against an expected schema, length-bounded, and stamped with a provenance label such as untrusted-tool-output so later reads can treat it accordingly.",Memory Poisoning
AGENTIC-T1.2,"**Security Rule:** Recalled memory must be placed into the prompt as quoted, clearly delimited reference data, never as system or developer instructions that the agent is bound to obey.

**Vulnerability Pattern (Description):** Retrieved memory is concatenated straight into the system prompt or instruction block, so a poisoned note such as ignore prior rules is obeyed with the same authority as the developer's own directives.

**Secure Pattern (Description):** Memory is injected only inside a fenced data section with an explicit note that its content is reference material and must not be followed as commands, keeping trusted instructions in a separate channel.

[[GENERIC PATTERNS]]
Vulnerable:
```
systemPrompt = baseInstructions + ""\n"" + recalledMemory
```
Secure:
```
systemPrompt = baseInstructions
userTurn = fencedDataBlock(""MEMORY (reference only)"", recalledMemory)
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const system = `${base}\n${recalledMemory}`;
```
Secure:
```
const messages = [{ role: ""system"", content: base },
  { role: ""user"", content: `<memory note=""data only"">${recalledMemory}</memory>` }];
```

[[PYTHON PATTERNS]]
Vulnerable:
```
messages = [{""role"": ""system"", ""content"": base + recalled_memory}]
```
Secure:
```
messages = [
    {""role"": ""system"", ""content"": base},
    {""role"": ""user"", ""content"": f""<memory note='data only'>{recalled_memory}</memory>""},
]
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
const system: string = `${base}\n${recalledMemory}`;
```
Secure:
```
const messages: ChatMessage[] = [{ role: ""system"", content: base },
  { role: ""user"", content: `<memory note=""data only"">${recalledMemory}</memory>` }];
```","Recalled memory must be placed into the prompt as quoted, clearly delimited reference data, never as system or developer instructions that the agent is bound to obey.
Retrieved memory is concatenated straight into the system prompt or instruction block, so a poisoned note such as ignore prior rules is obeyed with the same authority as the developer's own directives.
Memory is injected only inside a fenced data section with an explicit note that its content is reference material and must not be followed as commands, keeping trusted instructions in a separate channel.",Memory Poisoning
AGENTIC-T1.3,"**Security Rule:** Every memory read and write must be scoped to the originating user, tenant, and session so one principal cannot plant or read entries belonging to another.

**Vulnerability Pattern (Description):** Memory is keyed on a single global namespace or a guessable thread id, so one user's poisoned note is recalled in another user's session and acted on as their own context.

**Secure Pattern (Description):** The memory key is composed from the authenticated tenant and user identifiers plus the session id, and every query filters on that same scope so recall can never cross a trust boundary.

[[GENERIC PATTERNS]]
Vulnerable:
```
memory.query(namespace=""global"", text=q)
```
Secure:
```
memory.query(namespace=(tenantId, userId, sessionId), text=q)
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const ns = [""memories""];
```
Secure:
```
const ns = [""memories"", ctx.tenantId, ctx.userId];
await store.search(ns, { query });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
config = {""configurable"": {""thread_id"": ""shared""}}
```
Secure:
```
config = {""configurable"": {""thread_id"": f""{tenant_id}:{user_id}:{session_id}""}}
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
const ns: string[] = [""memories""];
```
Secure:
```
const ns: string[] = [""memories"", ctx.tenantId, ctx.userId];
await store.search(ns, { query });
```","Every memory read and write must be scoped to the originating user, tenant, and session so one principal cannot plant or read entries belonging to another.
Memory is keyed on a single global namespace or a guessable thread id, so one user's poisoned note is recalled in another user's session and acted on as their own context.
The memory key is composed from the authenticated tenant and user identifiers plus the session id, and every query filters on that same scope so recall can never cross a trust boundary.",Memory Poisoning
AGENTIC-T1.4,"**Security Rule:** Documents ingested into a retrieval index must come from an authenticated, authorized source and be content-screened, so the knowledge an agent retrieves cannot be silently corrupted.

**Vulnerability Pattern (Description):** Any document submitted through an open ingestion path is embedded and indexed without source checks, so an attacker uploads a record crafted to surface for common queries and carry hidden instructions.

**Secure Pattern (Description):** Ingestion requires an authorized writer, screens content for embedded instructions and anomalies, and records the source so poisoned documents can be traced and purged.

[[GENERIC PATTERNS]]
Vulnerable:
```
vectorStore.add(embed(uploadedDoc))
```
Secure:
```
if writerAuthorized(principal) and screen(uploadedDoc):
    vectorStore.add(embed(uploadedDoc), metadata={""source"": principal})
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
await index.upsert([{ values: embed(doc), metadata: { text: doc } }]);
```
Secure:
```
if (!isAuthorized(principal) || !screenContent(doc)) throw new Error(""rejected"");
await index.upsert([{ values: embed(doc),
  metadata: { text: doc, source: principal.id } }]);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
qdrant.upsert(collection, [PointStruct(vector=embed(doc), payload={""text"": doc})])
```
Secure:
```
if not is_authorized(principal) or not passes_content_screen(doc):
    raise PermissionError(""ingestion rejected"")
qdrant.upsert(collection, [PointStruct(vector=embed(doc),
    payload={""text"": doc, ""source"": principal.id})])
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
await index.upsert([{ values: embed(doc), metadata: { text: doc } }]);
```
Secure:
```
if (!isAuthorized(principal) || !screenContent(doc)) throw new Error(""rejected"");
const point: VectorPoint = { values: embed(doc),
  metadata: { text: doc, source: principal.id } };
await index.upsert([point]);
```","Documents ingested into a retrieval index must come from an authenticated, authorized source and be content-screened, so the knowledge an agent retrieves cannot be silently corrupted.
Any document submitted through an open ingestion path is embedded and indexed without source checks, so an attacker uploads a record crafted to surface for common queries and carry hidden instructions.
Ingestion requires an authorized writer, screens content for embedded instructions and anomalies, and records the source so poisoned documents can be traced and purged.",Memory Poisoning
AGENTIC-T1.5,"**Security Rule:** When agents communicate through a shared blackboard or scratchpad, each consumer must treat entries from peer agents as untrusted input and re-validate them against its own task contract.

**Vulnerability Pattern (Description):** A downstream agent reads a shared-state field written by a peer and acts on it directly, so one compromised or manipulated agent can pivot the whole workflow by writing a poisoned field.

**Secure Pattern (Description):** Shared-state writes are namespaced and signed by the producing agent, and each consumer validates the entry's author, schema, and plausibility before using it.

[[GENERIC PATTERNS]]
Vulnerable:
```
plan = blackboard.get(""plan"")
execute(plan)
```
Secure:
```
entry = blackboard.get(""plan"")
if verifyAuthor(entry, expected=""planner"") and validate(entry.value):
    execute(entry.value)
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const plan = sharedState.plan;
await execute(plan);
```
Secure:
```
const entry = sharedState.plan;
if (entry.author !== ""planner"" || !planSchema.safeParse(entry.value).success)
  throw new Error(""untrusted plan rejected"");
await execute(entry.value);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
def executor_node(state: GraphState):
    return run_steps(state[""plan""])
```
Secure:
```
def executor_node(state: GraphState):
    plan = state[""plan""]
    if plan.author != ""planner"" or not plan_schema.validate(plan.value):
        raise ValueError(""untrusted plan entry rejected"")
    return run_steps(plan.value)
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
const plan: Plan = sharedState.plan;
await execute(plan);
```
Secure:
```
const entry: SignedEntry<Plan> = sharedState.plan;
if (entry.author !== ""planner"" || !planSchema.safeParse(entry.value).success)
  throw new Error(""untrusted plan rejected"");
await execute(entry.value);
```","When agents communicate through a shared blackboard or scratchpad, each consumer must treat entries from peer agents as untrusted input and re-validate them against its own task contract.
A downstream agent reads a shared-state field written by a peer and acts on it directly, so one compromised or manipulated agent can pivot the whole workflow by writing a poisoned field.
Shared-state writes are namespaced and signed by the producing agent, and each consumer validates the entry's author, schema, and plausibility before using it.",Memory Poisoning
AGENTIC-T1.6,"**Security Rule:** Stored memory must carry an integrity signal such as a keyed hash or signature, and that signal must be verified on every read so silent tampering of the backing store is detected.

**Vulnerability Pattern (Description):** Memory records are stored as plain text with no integrity check, so an attacker who reaches the database or cache can rewrite a record and the agent recalls the altered content as authentic.

**Secure Pattern (Description):** Each record is stored with a server-side HMAC over its content and scope, and recall recomputes and compares the HMAC, discarding any record whose signal does not match.

[[GENERIC PATTERNS]]
Vulnerable:
```
record = store.read(key)
use(record.text)
```
Secure:
```
record = store.read(key)
if hmac(record.text, secretKey) == record.mac: use(record.text)
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const item = await db.getMemory(key);
return item.text;
```
Secure:
```
const item = await db.getMemory(key);
const mac = createHmac(""sha256"", SECRET).update(item.text).digest(""hex"");
if (!timingSafeEqualHex(mac, item.mac)) throw new Error(""memory tampered"");
return item.text;
```

[[PYTHON PATTERNS]]
Vulnerable:
```
item = db.get_memory(key)
return item[""text""]
```
Secure:
```
item = db.get_memory(key)
expected = hmac.new(SECRET, item[""text""].encode(), ""sha256"").hexdigest()
if not hmac.compare_digest(expected, item[""mac""]):
    raise IntegrityError(""memory tampering detected"")
return item[""text""]
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
const item: MemoryRow = await db.getMemory(key);
return item.text;
```
Secure:
```
const item: MemoryRow = await db.getMemory(key);
const mac = createHmac(""sha256"", SECRET).update(item.text).digest(""hex"");
if (!timingSafeEqualHex(mac, item.mac)) throw new Error(""memory tampered"");
return item.text;
```","Stored memory must carry an integrity signal such as a keyed hash or signature, and that signal must be verified on every read so silent tampering of the backing store is detected.
Memory records are stored as plain text with no integrity check, so an attacker who reaches the database or cache can rewrite a record and the agent recalls the altered content as authentic.
Each record is stored with a server-side HMAC over its content and scope, and recall recomputes and compares the HMAC, discarding any record whose signal does not match.",Memory Poisoning
AGENTIC-T1.7,"**Security Rule:** Memory writes must be rate-limited and capacity-bounded per scope so an attacker cannot flood the store to evict trusted history or dominate retrieval through repetition.

**Vulnerability Pattern (Description):** Any turn can append unlimited entries to memory, so an attacker repeats a poisoned note until it crowds out genuine context or becomes the most frequent and highest-ranked recall result.

**Secure Pattern (Description):** Each scope has a write quota and a bounded retention window, and near-duplicate entries are de-duplicated, so no single source can saturate or skew the store.

[[GENERIC PATTERNS]]
Vulnerable:
```
memory.append(entry)                  # no quota, no dedupe
```
Secure:
```
if writeQuota.allow(scope) and not memory.hasSimilar(entry):
    memory.appendBounded(entry, maxItems=CAP)
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
await store.add(scope, entry);
```
Secure:
```
if (!rateLimiter.allow(scope)) throw new Error(""memory write quota exceeded"");
if (!(await store.hasNearDuplicate(scope, entry)))
  await store.addBounded(scope, entry, { maxItems: CAP });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
store.add(scope, entry)
```
Secure:
```
if not rate_limiter.allow(scope):
    raise RateLimitError(""memory write quota exceeded"")
if not store.has_near_duplicate(scope, entry):
    store.add_bounded(scope, entry, max_items=CAP)
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
await store.add(scope, entry);
```
Secure:
```
if (!rateLimiter.allow(scope)) throw new Error(""memory write quota exceeded"");
if (!(await store.hasNearDuplicate(scope, entry)))
  await store.addBounded(scope, entry, { maxItems: CAP });
```","Memory writes must be rate-limited and capacity-bounded per scope so an attacker cannot flood the store to evict trusted history or dominate retrieval through repetition.
Any turn can append unlimited entries to memory, so an attacker repeats a poisoned note until it crowds out genuine context or becomes the most frequent and highest-ranked recall result.
Each scope has a write quota and a bounded retention window, and near-duplicate entries are de-duplicated, so no single source can saturate or skew the store.",Memory Poisoning
AGENTIC-T1.8,"**Security Rule:** Every memory write must be logged with its author, source, and timestamp, and the store must support reverting to a known-good state so a poisoning incident can be contained.

**Vulnerability Pattern (Description):** Memory is mutated in place with no history, so once a poisoned entry is written there is no way to learn how it got there or to roll the store back to before the incident.

**Secure Pattern (Description):** Writes are recorded as append-only, attributed versioned events, so operators can audit who wrote what and restore the store to a snapshot taken before the poisoning.

[[GENERIC PATTERNS]]
Vulnerable:
```
memory[key] = value                   # in-place, no history
```
Secure:
```
memoryLog.append(WriteEvent(key, value, author, source, now()))
memory.applyVersioned(key, value)
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
memory[key] = value;
```
Secure:
```
await auditLog.append({ key, value, author: agentId, source, ts: Date.now() });
await memory.putVersioned(key, value);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
store.update(key, value)
```
Secure:
```
audit.record(MemoryWrite(key=key, value=value, author=agent_id,
                         source=source, ts=utcnow()))
store.update(key, value, version=audit.last_version)
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
memory[key] = value;
```
Secure:
```
await auditLog.append({ key, value, author: agentId, source, ts: Date.now() });
await memory.putVersioned(key, value);
```","Every memory write must be logged with its author, source, and timestamp, and the store must support reverting to a known-good state so a poisoning incident can be contained.
Memory is mutated in place with no history, so once a poisoned entry is written there is no way to learn how it got there or to roll the store back to before the incident.
Writes are recorded as append-only, attributed versioned events, so operators can audit who wrote what and restore the store to a snapshot taken before the poisoning.",Memory Poisoning
AGENTIC-T1.9,"**Security Rule:** Secrets, credentials, and personal data must be redacted before any content is committed to memory, so a later poisoning or scope leak cannot turn the store into an exfiltration channel.

**Vulnerability Pattern (Description):** Raw conversation and tool output, including API keys and personal data, is written verbatim into long-lived memory, so a poisoned recall prompt can later surface those secrets to an attacker.

**Secure Pattern (Description):** A redaction pass strips secrets and high-entropy strings before the write, and sensitive fields are stored only as references that the agent cannot dereference into plaintext.

[[GENERIC PATTERNS]]
Vulnerable:
```
memory.append(conversationTurn)
```
Secure:
```
memory.append(redactSecrets(conversationTurn))
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
await memory.put({ text: turnText });
```
Secure:
```
await memory.put({ text: redactSecrets(turnText) });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
store.add(MemoryItem(text=turn_text))
```
Secure:
```
store.add(MemoryItem(text=redact_secrets(turn_text)))
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
await memory.put({ text: turnText } as MemoryItem);
```
Secure:
```
const item: MemoryItem = { text: redactSecrets(turnText) };
await memory.put(item);
```","Secrets, credentials, and personal data must be redacted before any content is committed to memory, so a later poisoning or scope leak cannot turn the store into an exfiltration channel.
Raw conversation and tool output, including API keys and personal data, is written verbatim into long-lived memory, so a poisoned recall prompt can later surface those secrets to an attacker.
A redaction pass strips secrets and high-entropy strings before the write, and sensitive fields are stored only as references that the agent cannot dereference into plaintext.",Memory Poisoning
AGENTIC-T2.1,"**Security Rule:** Every argument an agent passes to a tool must be validated against a strict schema inside the tool itself, since the model can emit any value it is steered to produce and the schema description is only a hint, not an enforced contract.

**Vulnerability Pattern (Description):** A tool trusts the arguments the model supplies and uses them directly in a sensitive operation, so a model that is confused or steered by injected text can drive the tool with values its author never intended.

**Secure Pattern (Description):** The tool revalidates every argument against an explicit typed schema with bounds, allowed values, and length limits before acting, and rejects anything that does not conform rather than coercing it.

[[GENERIC PATTERNS]]
Vulnerable:
```
def tool(args): return delete_records(args.table, args.where)
```
Secure:
```
def tool(args):
    v = Schema.validate(args)          # types, enums, bounds enforced
    return delete_records(v.table, v.where)
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const tool = { run: ({ path }) => fs.readFileSync(path) };
```
Secure:
```
const Args = z.object({ path: z.enum(ALLOWED_FILES) });
const tool = { run: (raw) => fs.readFileSync(Args.parse(raw).path) };
```

[[PYTHON PATTERNS]]
Vulnerable:
```
@tool
def transfer(amount: float, to: str):
    return bank.send(amount, to)        # amount unbounded, to unchecked
```
Secure:
```
class TransferArgs(BaseModel):
    amount: confloat(gt=0, le=10_000)
    to: constr(pattern=r""^acct-[0-9]{8}$"")
@tool(args_schema=TransferArgs)
def transfer(amount, to): return bank.send(amount, to)
```

[[TYPESCRIPT PATTERNS]]
Vulnerable:
```
async function runTool(args: any) { return db.query(args.sql); }
```
Secure:
```
const Args = z.object({ table: z.enum(TABLES), limit: z.number().int().max(100) });
async function runTool(raw: unknown) {
  const a = Args.parse(raw); return db.select(a.table, a.limit);
}
```","Every argument an agent passes to a tool must be validated against a strict schema inside the tool itself, since the model can emit any value it is steered to produce and the schema description is only a hint, not an enforced contract.
A tool trusts the arguments the model supplies and uses them directly in a sensitive operation, so a model that is confused or steered by injected text can drive the tool with values its author never intended.
The tool revalidates every argument against an explicit typed schema with bounds, allowed values, and length limits before acting, and rejects anything that does not conform rather than coercing it.",Tool Misuse
