id,document,embed_text,concern_area
MASVS-STORAGE.1,"**Security Rule:** Sensitive data such as credentials, tokens, and keys must be stored in the platform credential store — the iOS Keychain or the Android Keystore-backed store — and never in plain application files or preferences.

**Vulnerability Pattern (Description):** A secret such as an auth token or password is written to a plain preferences file, plist, or local file, where it is readable by anyone with filesystem or backup access to the device.

**Secure Pattern (Description):** Secrets are written to the operating system credential store, which is hardware-backed where available, so the value is encrypted at rest and scoped to the application.

[[DART PATTERNS]]
Vulnerable:
```
await SharedPreferences.getInstance()
  ..then((p) => p.setString(""token"", token));
```
Secure:
```
await const FlutterSecureStorage().write(key: ""token"", value: token);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
preferences.write(""auth_token"", token)   # plain on-disk file
```
Secure:
```
keychainStore.set(""auth_token"", token)   # OS credential store
```

[[JAVA PATTERNS]]
Vulnerable:
```
getSharedPreferences(""p"", MODE_PRIVATE).edit().putString(""token"", token).apply();
```
Secure:
```
SharedPreferences prefs = EncryptedSharedPreferences.create(context,
    ""secure_p"", masterKey, AES256_SIV, AES256_GCM);
prefs.edit().putString(""token"", token).apply();
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
getSharedPreferences(""p"", MODE_PRIVATE).edit().putString(""token"", token).apply()
```
Secure:
```
val prefs = EncryptedSharedPreferences.create(context, ""secure_p"", masterKey,
    AES256_SIV, AES256_GCM)
prefs.edit().putString(""token"", token).apply()
```

[[SWIFT PATTERNS]]
Vulnerable:
```
UserDefaults.standard.set(token, forKey: ""authToken"")
```
Secure:
```
let q: [String: Any] = [kSecClass as String: kSecClassGenericPassword,
    kSecAttrAccount as String: ""authToken"",
    kSecValueData as String: Data(token.utf8)]
SecItemAdd(q as CFDictionary, nil)
```","Sensitive data such as credentials, tokens, and keys must be stored in the platform credential store — the iOS Keychain or the Android Keystore-backed store — and never in plain application files or preferences.
A secret such as an auth token or password is written to a plain preferences file, plist, or local file, where it is readable by anyone with filesystem or backup access to the device.
Secrets are written to the operating system credential store, which is hardware-backed where available, so the value is encrypted at rest and scoped to the application.",Data Storage
MASVS-STORAGE.2,"**Security Rule:** The application must not store sensitive data in locations that are world-readable, externally accessible, or unencrypted, such as external storage, the SD card, or a local database without encryption.

**Vulnerability Pattern (Description):** Sensitive data is written to external or shared storage or to an unencrypted local database, so any other app or any user with device access can read it.

**Secure Pattern (Description):** Sensitive data is confined to the app-private sandbox and held in an encrypted database or store, so it is not reachable by other apps and is unreadable without the app's key.

[[DART PATTERNS]]
Vulnerable:
```
File(""${(await getExternalStorageDirectory())!.path}/data.json"")
  .writeAsStringSync(sensitiveJson);
```
Secure:
```
final db = await openDatabase(""${(await getApplicationSupportDirectory())
  .path}/data.db"", password: passphrase);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
writeFile(externalStorageDir + ""/profile.db"", sensitiveData)
```
Secure:
```
encryptedDb.openInPrivateSandbox(key).write(sensitiveData)
```

[[JAVA PATTERNS]]
Vulnerable:
```
new FileOutputStream(new File(Environment.getExternalStorageDirectory(),
    ""cards.db"")).write(sensitiveBytes);
```
Secure:
```
SQLiteDatabase db = SQLiteDatabase.openOrCreateDatabase(
    new File(getFilesDir(), ""cards.db""), passphrase, null);
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
File(getExternalFilesDir(null), ""cards.db"").writeBytes(sensitiveBytes)
```
Secure:
```
val db = SQLiteDatabase.openOrCreateDatabase(
    File(filesDir, ""cards.db""), passphrase, null)
```

[[SWIFT PATTERNS]]
Vulnerable:
```
try data.write(to: sharedContainerURL.appendingPathComponent(""notes.txt""))
```
Secure:
```
try data.write(to: appSupportURL.appendingPathComponent(""notes.txt""),
    options: .completeFileProtection)
```","The application must not store sensitive data in locations that are world-readable, externally accessible, or unencrypted, such as external storage, the SD card, or a local database without encryption.
Sensitive data is written to external or shared storage or to an unencrypted local database, so any other app or any user with device access can read it.
Sensitive data is confined to the app-private sandbox and held in an encrypted database or store, so it is not reachable by other apps and is unreadable without the app's key.",Data Storage
MASVS-STORAGE.3,"**Security Rule:** Sensitive data must be excluded from cloud and local device backups so it cannot be extracted from an unencrypted backup of the device.

**Vulnerability Pattern (Description):** A file or preference holding a secret is left eligible for iCloud, iTunes, or Android auto-backup, so the secret is copied off-device into a backup an attacker may obtain.

**Secure Pattern (Description):** Secrets are stored in the credential store, which is not backed up by default, or files holding them are explicitly flagged as excluded from backup and from the auto-backup ruleset.

[[DART PATTERNS]]
Vulnerable:
```
await File(secretPath).writeAsString(secret);   // auto-backup eligible
```
Secure:
```
await const FlutterSecureStorage(
  aOptions: AndroidOptions(encryptedSharedPreferences: true))
  .write(key: ""secret"", value: secret);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
saveSecretFile(path)                  # included in device backup
```
Secure:
```
saveSecretFile(path); markExcludedFromBackup(path)
```

[[JAVA PATTERNS]]
Vulnerable:
```
// AndroidManifest.xml
<application android:allowBackup=""true"">
```
Secure:
```
// AndroidManifest.xml — exclude secrets dir from auto-backup
<application android:allowBackup=""false"">
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
<application android:allowBackup=""true"" android:fullBackupContent=""true"">
```
Secure:
```
<application android:allowBackup=""false""
    android:dataExtractionRules=""@xml/data_extraction_rules"">
```

[[SWIFT PATTERNS]]
Vulnerable:
```
try data.write(to: secretURL)         # backed up to iCloud by default
```
Secure:
```
var url = secretURL
var rv = URLResourceValues(); rv.isExcludedFromBackup = true
try url.setResourceValues(rv)
```","Sensitive data must be excluded from cloud and local device backups so it cannot be extracted from an unencrypted backup of the device.
A file or preference holding a secret is left eligible for iCloud, iTunes, or Android auto-backup, so the secret is copied off-device into a backup an attacker may obtain.
Secrets are stored in the credential store, which is not backed up by default, or files holding them are explicitly flagged as excluded from backup and from the auto-backup ruleset.",Data Storage
MASVS-STORAGE.4,"**Security Rule:** Sensitive data must not be written to application logs, including the system log, crash logs, and console output, where other apps or support tooling could read it.

**Vulnerability Pattern (Description):** Credentials, tokens, or personal data are passed to a logging call, so the secret is persisted to a log buffer that is readable by diagnostics tools or shipped to a crash service.

**Secure Pattern (Description):** Log statements emit only non-sensitive identifiers, and any secret is redacted or omitted, with verbose and debug logging disabled in release builds.

[[DART PATTERNS]]
Vulnerable:
```
debugPrint(""api key: $apiKey"");
```
Secure:
```
debugPrint(""request completed: status=$statusCode"");
```

[[GENERIC PATTERNS]]
Vulnerable:
```
log.debug(""login ok, token="" + token)
```
Secure:
```
log.debug(""login ok for userId="" + userId)   # no secret in log
```

[[JAVA PATTERNS]]
Vulnerable:
```
Log.d(""Auth"", ""token="" + token);
```
Secure:
```
Log.d(""Auth"", ""auth succeeded for user "" + userId);
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
Log.d(""Auth"", ""password=$password"")
```
Secure:
```
Log.d(""Auth"", ""auth succeeded for user $userId"")
```

[[SWIFT PATTERNS]]
Vulnerable:
```
print(""session token: \(token)"")
```
Secure:
```
os_log(""session established"", log: .default, type: .info)
```","Sensitive data must not be written to application logs, including the system log, crash logs, and console output, where other apps or support tooling could read it.
Credentials, tokens, or personal data are passed to a logging call, so the secret is persisted to a log buffer that is readable by diagnostics tools or shipped to a crash service.
Log statements emit only non-sensitive identifiers, and any secret is redacted or omitted, with verbose and debug logging disabled in release builds.",Data Storage
MASVS-STORAGE.5,"**Security Rule:** The application must not expose sensitive data through unprotected inter-process communication channels such as exported content providers, broadcasts, clipboard, or shared activities.

**Vulnerability Pattern (Description):** Sensitive data is placed on a channel reachable by other apps — an exported content provider, an implicit broadcast, or the global clipboard — so any installed app can read it.

**Secure Pattern (Description):** IPC components are not exported, are guarded by a signature-level permission, and sensitive values are kept off the shared clipboard or flagged as sensitive when they must be copied.

[[DART PATTERNS]]
Vulnerable:
```
await Clipboard.setData(ClipboardData(text: sessionToken));
```
Secure:
```
// keep secrets off the shared clipboard; pass in-process instead
sessionService.useTokenInMemory(sessionToken);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
broadcast(intentWith(secret))          # any app can receive it
```
Secure:
```
sendToSelfOnly(intentWith(secret), signaturePermission)
```

[[JAVA PATTERNS]]
Vulnerable:
```
ClipData clip = ClipData.newPlainText(""token"", token);
clipboard.setPrimaryClip(clip);
```
Secure:
```
PersistableBundle extras = new PersistableBundle();
extras.putBoolean(ClipDescription.EXTRA_IS_SENSITIVE, true);
clip.getDescription().setExtras(extras);
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
<provider android:name="".SecretProvider"" android:exported=""true""/>
```
Secure:
```
<provider android:name="".SecretProvider"" android:exported=""false""
    android:permission=""com.app.permission.SIGNATURE""/>
```

[[SWIFT PATTERNS]]
Vulnerable:
```
UIPasteboard.general.string = creditCardNumber
```
Secure:
```
let pb = UIPasteboard.general
pb.setItems([[""cc"": creditCardNumber]],
    options: [.expirationDate: Date().addingTimeInterval(60)])
```","The application must not expose sensitive data through unprotected inter-process communication channels such as exported content providers, broadcasts, clipboard, or shared activities.
Sensitive data is placed on a channel reachable by other apps — an exported content provider, an implicit broadcast, or the global clipboard — so any installed app can read it.
IPC components are not exported, are guarded by a signature-level permission, and sensitive values are kept off the shared clipboard or flagged as sensitive when they must be copied.",Data Storage
MASVS-STORAGE.6,"**Security Rule:** Input fields that accept sensitive data must disable third-party keyboard caching, predictive text, and autofill so secrets are not retained by the keyboard or system autofill store.

**Vulnerability Pattern (Description):** A password or other sensitive field allows predictive text or autofill, so the value is cached by the keyboard dictionary or the autofill service and can leak into another context.

**Secure Pattern (Description):** Sensitive fields are marked as secure or password entry and opt out of autofill, so the keyboard does not learn the value and the system does not store it.

[[DART PATTERNS]]
Vulnerable:
```
TextField(controller: pwController);
```
Secure:
```
TextField(controller: pwController, obscureText: true,
    enableSuggestions: false, autocorrect: false);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
textField(sensitive=true)              # predictive text still on
```
Secure:
```
textField(sensitive=true, autocorrect=false, autofill=false)
```

[[JAVA PATTERNS]]
Vulnerable:
```
editText.setInputType(InputType.TYPE_CLASS_TEXT);
```
Secure:
```
editText.setInputType(InputType.TYPE_CLASS_TEXT
    | InputType.TYPE_TEXT_VARIATION_PASSWORD);
editText.setImportantForAutofill(View.IMPORTANT_FOR_AUTOFILL_NO);
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
<EditText android:inputType=""text""/>
```
Secure:
```
<EditText android:inputType=""textPassword""
    android:importantForAutofill=""no""/>
```

[[SWIFT PATTERNS]]
Vulnerable:
```
passwordField.autocorrectionType = .yes
```
Secure:
```
passwordField.isSecureTextEntry = true
passwordField.autocorrectionType = .no
```","Input fields that accept sensitive data must disable third-party keyboard caching, predictive text, and autofill so secrets are not retained by the keyboard or system autofill store.
A password or other sensitive field allows predictive text or autofill, so the value is cached by the keyboard dictionary or the autofill service and can leak into another context.
Sensitive fields are marked as secure or password entry and opt out of autofill, so the keyboard does not learn the value and the system does not store it.",Data Storage
MASVS-STORAGE.7,"**Security Rule:** The application must prevent sensitive data on screen from being captured in the task-switcher snapshot the operating system takes when the app moves to the background.

**Vulnerability Pattern (Description):** A screen showing sensitive data is left visible when the app is backgrounded, so the OS stores a snapshot of it that is shown in the app switcher and saved to disk.

**Secure Pattern (Description):** On entering the background the sensitive view is hidden behind an overlay or blurred, or the window is flagged secure, so the captured snapshot reveals nothing sensitive.

[[DART PATTERNS]]
Vulnerable:
```
Widget build(BuildContext c) => AccountBalanceView();
```
Secure:
```
// flutter_windowmanager — block snapshot of sensitive screen
await FlutterWindowManager.addFlags(FlutterWindowManager.FLAG_SECURE);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
onBackground():  pass                  # sensitive screen snapshotted
```
Secure:
```
onBackground():  showPrivacyOverlay()
```

[[JAVA PATTERNS]]
Vulnerable:
```
setContentView(R.layout.account);
```
Secure:
```
getWindow().setFlags(WindowManager.LayoutParams.FLAG_SECURE,
    WindowManager.LayoutParams.FLAG_SECURE);
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
// no FLAG_SECURE — balance screen captured to task snapshot
setContentView(R.layout.account)
```
Secure:
```
window.setFlags(WindowManager.LayoutParams.FLAG_SECURE,
    WindowManager.LayoutParams.FLAG_SECURE)
```

[[SWIFT PATTERNS]]
Vulnerable:
```
func sceneWillResignActive(_ scene: UIScene) { }
```
Secure:
```
func sceneWillResignActive(_ scene: UIScene) {
    window?.addSubview(privacyBlurOverlay)
}
```","The application must prevent sensitive data on screen from being captured in the task-switcher snapshot the operating system takes when the app moves to the background.
A screen showing sensitive data is left visible when the app is backgrounded, so the OS stores a snapshot of it that is shown in the app switcher and saved to disk.
On entering the background the sensitive view is hidden behind an overlay or blurred, or the window is flagged secure, so the captured snapshot reveals nothing sensitive.",Data Storage
MASVS-STORAGE.8,"**Security Rule:** Encryption keys protecting stored sensitive data must be generated and held in hardware-backed storage and gated on user authentication, so the keys cannot be extracted or used outside the device.

**Vulnerability Pattern (Description):** An encryption key is created in software and stored as a string or file alongside the data it protects, so an attacker who reads the storage also obtains the key.

**Secure Pattern (Description):** Keys are generated inside the Secure Enclave or hardware Keystore as non-exportable, with access bound to device unlock or biometric authentication, so the key never exists in plain application memory.

[[DART PATTERNS]]
Vulnerable:
```
final key = base64Encode(randomBytes(32));   // stored next to data
```
Secure:
```
await const FlutterSecureStorage(
  iOptions: IOSOptions(accessibility: KeychainAccessibility.first_unlock_this_device))
  .write(key: ""dek"", value: dek);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
key = randomBytes(32); saveFile(""data.key"", key)
```
Secure:
```
key = hardwareKeystore.generateNonExportableKey(requireUserAuth=true)
```

[[JAVA PATTERNS]]
Vulnerable:
```
SecretKey key = KeyGenerator.getInstance(""AES"").generateKey();
```
Secure:
```
KeyGenerator kg = KeyGenerator.getInstance(""AES"", ""AndroidKeyStore"");
kg.init(new KeyGenParameterSpec.Builder(""k"", PURPOSE_ENCRYPT | PURPOSE_DECRYPT)
    .setUserAuthenticationRequired(true).build());
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
val key = KeyGenerator.getInstance(""AES"").generateKey()  // not in Keystore
```
Secure:
```
val spec = KeyGenParameterSpec.Builder(""k"", PURPOSE_ENCRYPT or PURPOSE_DECRYPT)
    .setUserAuthenticationRequired(true)
    .setIsStrongBoxBacked(true).build()
```

[[SWIFT PATTERNS]]
Vulnerable:
```
let key = SymmetricKey(size: .bits256)   # lives in app memory
```
Secure:
```
let access = SecAccessControlCreateWithFlags(nil,
    kSecAttrAccessibleWhenUnlockedThisDeviceOnly,
    .privateKeyUsage, nil)
```","Encryption keys protecting stored sensitive data must be generated and held in hardware-backed storage and gated on user authentication, so the keys cannot be extracted or used outside the device.
An encryption key is created in software and stored as a string or file alongside the data it protects, so an attacker who reads the storage also obtains the key.
Keys are generated inside the Secure Enclave or hardware Keystore as non-exportable, with access bound to device unlock or biometric authentication, so the key never exists in plain application memory.",Data Storage
MASVS-STORAGE.9,"**Security Rule:** Sensitive data must be removed from storage and memory when it is no longer needed — on logout, on session end, or when the user revokes access — so it does not linger on the device.

**Vulnerability Pattern (Description):** On logout the application clears the in-memory session but leaves cached tokens, credentials, or personal data on disk, so the next person with the device can recover the previous user's data.

**Secure Pattern (Description):** Logout and account removal explicitly delete every credential-store entry, cached file, and database row holding sensitive data, and overwrite or release the corresponding in-memory buffers.

[[DART PATTERNS]]
Vulnerable:
```
void logout() => session = null;
```
Secure:
```
Future<void> logout() async {
  session = null;
  await const FlutterSecureStorage().deleteAll();
}
```

[[GENERIC PATTERNS]]
Vulnerable:
```
onLogout():  session = null            # disk cache untouched
```
Secure:
```
onLogout():  session = null; credentialStore.deleteAll(); cache.purge()
```

[[JAVA PATTERNS]]
Vulnerable:
```
void logout() { sessionHolder.clear(); }
```
Secure:
```
void logout() {
    sessionHolder.clear();
    encryptedPrefs.edit().clear().apply();
    context.deleteDatabase(""cards.db"");
}
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
fun logout() { sessionHolder.clear() }
```
Secure:
```
fun logout() {
    sessionHolder.clear()
    encryptedPrefs.edit().clear().apply()
    context.deleteDatabase(""cards.db"")
}
```

[[SWIFT PATTERNS]]
Vulnerable:
```
func logout() { self.session = nil }
```
Secure:
```
func logout() {
    self.session = nil
    SecItemDelete([kSecClass as String: kSecClassGenericPassword] as CFDictionary)
}
```","Sensitive data must be removed from storage and memory when it is no longer needed — on logout, on session end, or when the user revokes access — so it does not linger on the device.
On logout the application clears the in-memory session but leaves cached tokens, credentials, or personal data on disk, so the next person with the device can recover the previous user's data.
Logout and account removal explicitly delete every credential-store entry, cached file, and database row holding sensitive data, and overwrite or release the corresponding in-memory buffers.",Data Storage
MASVS-CRYPTO.1,"**Security Rule:** The app must rely only on current, standard cryptographic primitives for both ciphers and hashes, and must not use algorithms that are broken or deprecated such as DES, 3DES, RC4, Blowfish, MD5, or SHA-1.

**Vulnerability Pattern (Description):** A cipher or hash that is broken or deprecated is selected, so an attacker can recover plaintext from captured ciphertext or craft a second input with the same digest with feasible effort.

**Secure Pattern (Description):** A current, well-vetted primitive such as AES with a 256-bit key for encryption and a SHA-2 or SHA-3 hash for integrity is selected, ideally through a high-level library that exposes only modern algorithms.

[[DART PATTERNS]]
Vulnerable:
```
final cipher = encrypt.Encrypter(encrypt.Salsa20(key));
```
Secure:
```
final algo = AesGcm.with256bits();   // package:cryptography
```

[[GENERIC PATTERNS]]
Vulnerable:
```
cipher = newCipher(""DES"")          # broken 56-bit cipher
digest = md5(content)              # collisions are practical
```
Secure:
```
cipher = newCipher(""AES-256"")
digest = sha256(content)
```

[[JAVA PATTERNS]]
Vulnerable:
```
Cipher c = Cipher.getInstance(""Blowfish"");
MessageDigest md = MessageDigest.getInstance(""SHA-1"");
```
Secure:
```
Cipher c = Cipher.getInstance(""AES/GCM/NoPadding"");
MessageDigest md = MessageDigest.getInstance(""SHA-256"");
```

[[KOTLIN PATTERNS]]
Vulnerable:
```
val cipher = Cipher.getInstance(""DES/ECB/PKCS5Padding"")
```
Secure:
```
val cipher = Cipher.getInstance(""AES/GCM/NoPadding"")
```

[[SWIFT PATTERNS]]
Vulnerable:
```
let algo = CCAlgorithm(kCCAlgorithm3DES)
let h = Insecure.MD5.hash(data: content)
```
Secure:
```
let sealed = try AES.GCM.seal(plaintext, using: key)
let h = SHA256.hash(data: content)
```","The app must rely only on current, standard cryptographic primitives for both ciphers and hashes, and must not use algorithms that are broken or deprecated such as DES, 3DES, RC4, Blowfish, MD5, or SHA-1.
A cipher or hash that is broken or deprecated is selected, so an attacker can recover plaintext from captured ciphertext or craft a second input with the same digest with feasible effort.
A current, well-vetted primitive such as AES with a 256-bit key for encryption and a SHA-2 or SHA-3 hash for integrity is selected, ideally through a high-level library that exposes only modern algorithms.",Cryptography
