id,document,embed_text,concern_area
CS-01.1,"**Security Rule:** SQL statements must be written with fixed text and bound parameters so untrusted input is sent to the database as a value and can never alter the structure or logic of the query.

**Vulnerability Pattern (Description):** Untrusted input is concatenated or string-formatted into the SQL text, so quote and comment characters let an attacker append clauses, change the WHERE logic, or union in data from other tables.

**Secure Pattern (Description):** The query text is a constant and every untrusted value is passed as a bound placeholder through a prepared statement, so the database driver keeps input strictly separate from query syntax.

[[C# PATTERNS]]
Vulnerable:
```
cmd.CommandText = ""SELECT * FROM users WHERE name = '"" + name + ""'"";
```
Secure:
```
cmd.CommandText = ""SELECT * FROM users WHERE name = @name"";
cmd.Parameters.AddWithValue(""@name"", name);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
query = ""SELECT * FROM accounts WHERE owner = '"" + user + ""'""
execute(query)
```
Secure:
```
query = ""SELECT * FROM accounts WHERE owner = ?""
execute(query, [user])
```

[[JAVA PATTERNS]]
Vulnerable:
```
stmt.executeQuery(""SELECT * FROM users WHERE name = '"" + name + ""'"");
```
Secure:
```
var ps = conn.prepareStatement(""SELECT * FROM users WHERE name = ?"");
ps.setString(1, name);
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
db.query(""SELECT * FROM users WHERE id = "" + req.params.id);
```
Secure:
```
db.query(""SELECT * FROM users WHERE id = $1"", [req.params.id]);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
cursor.execute(f""SELECT * FROM users WHERE email = '{email}'"")
```
Secure:
```
cursor.execute(""SELECT * FROM users WHERE email = %s"", (email,))
```","SQL statements must be written with fixed text and bound parameters so untrusted input is sent to the database as a value and can never alter the structure or logic of the query.
Untrusted input is concatenated or string-formatted into the SQL text, so quote and comment characters let an attacker append clauses, change the WHERE logic, or union in data from other tables.
The query text is a constant and every untrusted value is passed as a bound placeholder through a prepared statement, so the database driver keeps input strictly separate from query syntax.",Injection Prevention
CS-01.2,"**Security Rule:** Table names, column names, and sort directions cannot be bound as parameters, so any such value derived from user input must be mapped through a server-side allowlist of known-valid identifiers.

**Vulnerability Pattern (Description):** A user-supplied column name, table name, or sort direction is concatenated into the SQL text because placeholders cannot bind identifiers, letting an attacker inject query syntax through that slot.

**Secure Pattern (Description):** The user value is used only as a key to look up an approved identifier from a fixed allowlist, and a request that does not match the allowlist is rejected before the query is built.

[[C# PATTERNS]]
Vulnerable:
```
var sql = ""SELECT * FROM logs ORDER BY "" + Request.Query[""sort""];
```
Secure:
```
var cols = new Dictionary<string,string> { [""date""] = ""created_at"" };
var sql = ""SELECT * FROM logs ORDER BY "" + cols[sortKey];
```

[[GENERIC PATTERNS]]
Vulnerable:
```
query = ""SELECT * FROM logs ORDER BY "" + sortColumn
```
Secure:
```
col = ALLOWED_COLUMNS.get(sortColumn) or reject()
query = ""SELECT * FROM logs ORDER BY "" + col
```

[[JAVA PATTERNS]]
Vulnerable:
```
String sql = ""SELECT * FROM logs ORDER BY "" + request.getParameter(""sort"");
```
Secure:
```
Map<String,String> cols = Map.of(""date"", ""created_at"", ""name"", ""user_name"");
String sql = ""SELECT * FROM logs ORDER BY "" + cols.get(sortKey);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
cursor.execute(f""SELECT * FROM logs ORDER BY {request.args['sort']}"")
```
Secure:
```
col = {""date"": ""created_at"", ""name"": ""user_name""}[request.args[""sort""]]
cursor.execute(f""SELECT * FROM logs ORDER BY {col}"")
```","Table names, column names, and sort directions cannot be bound as parameters, so any such value derived from user input must be mapped through a server-side allowlist of known-valid identifiers.
A user-supplied column name, table name, or sort direction is concatenated into the SQL text because placeholders cannot bind identifiers, letting an attacker inject query syntax through that slot.
The user value is used only as a key to look up an approved identifier from a fixed allowlist, and a request that does not match the allowlist is rejected before the query is built.",Injection Prevention
CS-01.3,"**Security Rule:** External programs must be invoked directly with their arguments passed as a discrete list, never by handing a constructed command line to a shell interpreter.

**Vulnerability Pattern (Description):** Untrusted input is concatenated into a command string that is then run by a shell, so shell metacharacters such as semicolons, pipes, backticks, and dollar-parentheses let an attacker run extra commands.

**Secure Pattern (Description):** The executable and each of its arguments are passed as separate list elements directly to the operating system, so no shell parses the string and metacharacters in input stay inert data.

[[C# PATTERNS]]
Vulnerable:
```
Process.Start(""cmd.exe"", ""/c dir "" + folder);
```
Secure:
```
var psi = new ProcessStartInfo(""cmd.exe"") { UseShellExecute = false };
psi.ArgumentList.Add(""/c""); psi.ArgumentList.Add(""dir""); psi.ArgumentList.Add(folder);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
run(""tar czf backup.tgz "" + path, shell=true)
```
Secure:
```
run([""tar"", ""czf"", ""backup.tgz"", path])      # argument vector, no shell
```

[[JAVA PATTERNS]]
Vulnerable:
```
Runtime.getRuntime().exec(""convert "" + inputFile + "" out.png"");
```
Secure:
```
new ProcessBuilder(""convert"", inputFile, ""out.png"").start();
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
child_process.exec(""git clone "" + repoUrl);
```
Secure:
```
child_process.execFile(""git"", [""clone"", repoUrl]);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
os.system(""nslookup "" + domain)
```
Secure:
```
subprocess.run([""nslookup"", domain], shell=False)
```","External programs must be invoked directly with their arguments passed as a discrete list, never by handing a constructed command line to a shell interpreter.
Untrusted input is concatenated into a command string that is then run by a shell, so shell metacharacters such as semicolons, pipes, backticks, and dollar-parentheses let an attacker run extra commands.
The executable and each of its arguments are passed as separate list elements directly to the operating system, so no shell parses the string and metacharacters in input stay inert data.",Injection Prevention
CS-01.4,"**Security Rule:** Untrusted input placed into an LDAP search filter or distinguished name must be escaped with the encoder for that context so it is always treated as a literal value.

**Vulnerability Pattern (Description):** Untrusted input is concatenated into an LDAP filter or DN, so filter metacharacters such as parentheses, asterisks, backslashes, and null bytes let an attacker widen the search or bypass an authentication check.

**Secure Pattern (Description):** Each untrusted value is passed through the LDAP filter encoder or DN encoder, or bound through a templated search API, before it becomes part of the filter or distinguished name.

[[C# PATTERNS]]
Vulnerable:
```
var s = new DirectorySearcher(""(uid="" + username + "")"");
```
Secure:
```
var s = new DirectorySearcher(""(uid="" + LdapEncoder.FilterEncode(username) + "")"");
```

[[GENERIC PATTERNS]]
Vulnerable:
```
filter = ""(&(objectClass=user)(uid="" + username + ""))""
```
Secure:
```
filter = ""(&(objectClass=user)(uid="" + ldapFilterEncode(username) + ""))""
```

[[JAVA PATTERNS]]
Vulnerable:
```
ctx.search(base, ""(uid="" + username + "")"", controls);
```
Secure:
```
ctx.search(base, ""(uid={0})"", new Object[]{ username }, controls);
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
client.search(base, { filter: ""(uid="" + username + "")"" });
```
Secure:
```
client.search(base, { filter: ""(uid="" + ldapEscape.filter`${username}` + "")"" });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
conn.search(base, ""(uid="" + username + "")"")
```
Secure:
```
from ldap3.utils.conv import escape_filter_chars
conn.search(base, ""(uid="" + escape_filter_chars(username) + "")"")
```","Untrusted input placed into an LDAP search filter or distinguished name must be escaped with the encoder for that context so it is always treated as a literal value.
Untrusted input is concatenated into an LDAP filter or DN, so filter metacharacters such as parentheses, asterisks, backslashes, and null bytes let an attacker widen the search or bypass an authentication check.
Each untrusted value is passed through the LDAP filter encoder or DN encoder, or bound through a templated search API, before it becomes part of the filter or distinguished name.",Injection Prevention
CS-01.5,"**Security Rule:** Untrusted data rendered into an HTML response must be encoded for the exact context it lands in, ideally by an auto-escaping template engine, so it cannot become active markup or script.

**Vulnerability Pattern (Description):** Untrusted input is concatenated into an HTML page or written with a raw-HTML sink, so tags and event handlers in the input are parsed as markup and any embedded script executes in the victim browser.

**Secure Pattern (Description):** Values are emitted through an auto-escaping template or a context-aware encoder chosen for the sink — HTML body, attribute, or script — so untrusted characters render as inert text.

[[C# PATTERNS]]
Vulnerable:
```
Response.Write(""<p>"" + comment + ""</p>"");
```
Secure:
```
Response.Write(""<p>"" + HttpUtility.HtmlEncode(comment) + ""</p>"");
```

[[GENERIC PATTERNS]]
Vulnerable:
```
html = ""<div>Hello "" + username + ""</div>""
```
Secure:
```
html = ""<div>Hello "" + htmlEncode(username) + ""</div>""
```

[[JAVA PATTERNS]]
Vulnerable:
```
response.getWriter().write(""<p>"" + comment + ""</p>"");
```
Secure:
```
response.getWriter().write(""<p>"" + Encode.forHtml(comment) + ""</p>"");
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
res.send(""<p>Welcome "" + req.query.name + ""</p>"");
```
Secure:
```
res.render(""welcome"", { name: req.query.name });  # template autoescapes
```

[[PYTHON PATTERNS]]
Vulnerable:
```
return HttpResponse(""<h1>Results for "" + query + ""</h1>"")
```
Secure:
```
return render(request, ""results.html"", {""query"": query})  # autoescape on
```","Untrusted data rendered into an HTML response must be encoded for the exact context it lands in, ideally by an auto-escaping template engine, so it cannot become active markup or script.
Untrusted input is concatenated into an HTML page or written with a raw-HTML sink, so tags and event handlers in the input are parsed as markup and any embedded script executes in the victim browser.
Values are emitted through an auto-escaping template or a context-aware encoder chosen for the sink — HTML body, attribute, or script — so untrusted characters render as inert text.",Injection Prevention
CS-01.6,"**Security Rule:** Client-side code must write untrusted data into the DOM only through sinks that treat it as text or as a typed value, never through sinks that parse it as HTML or as code.

**Vulnerability Pattern (Description):** Untrusted data is assigned to a dangerous DOM sink such as innerHTML, document.write, or is passed to eval, so markup or script in the value is parsed and executed inside the page.

**Secure Pattern (Description):** The value is assigned through a text-only property such as textContent, or through setAttribute for a non-event attribute, so the browser never interprets it as HTML or executable code.

[[GENERIC PATTERNS]]
Vulnerable:
```
element.innerHTML = untrustedValue
```
Secure:
```
element.textContent = untrustedValue
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
document.getElementById(""out"").innerHTML = location.hash.slice(1);
```
Secure:
```
document.getElementById(""out"").textContent = location.hash.slice(1);
```","Client-side code must write untrusted data into the DOM only through sinks that treat it as text or as a typed value, never through sinks that parse it as HTML or as code.
Untrusted data is assigned to a dangerous DOM sink such as innerHTML, document.write, or is passed to eval, so markup or script in the value is parsed and executed inside the page.
The value is assigned through a text-only property such as textContent, or through setAttribute for a non-event attribute, so the browser never interprets it as HTML or executable code.",Injection Prevention
CS-01.7,"**Security Rule:** XPath expressions evaluated against XML data must be fixed text with untrusted values supplied through variable bindings or a precompiled expression, never assembled by string concatenation.

**Vulnerability Pattern (Description):** Untrusted input is concatenated into an XPath expression, so quotes and XPath operators let an attacker change the node selection and read elements they should not be able to reach.

**Secure Pattern (Description):** The XPath text is constant and untrusted values are bound as variables through a variable resolver or a precompiled expression, so input is always treated as a literal in the predicate.

[[C# PATTERNS]]
Vulnerable:
```
nav.Select(""/users/user[name='"" + name + ""']"");
```
Secure:
```
var e = nav.Compile(""/users/user[name=$name]"");
e.SetContext(varContext);   // $name resolved from context, not concatenated
nav.Select(e);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
expr = ""/users/user[name='"" + name + ""' and pass='"" + pw + ""']""
```
Secure:
```
expr = ""/users/user[name=$name and pass=$pw]""   # bind variables
```

[[JAVA PATTERNS]]
Vulnerable:
```
xpath.evaluate(""/users/user[name='"" + name + ""']"", doc);
```
Secure:
```
xpath.setXPathVariableResolver(v -> name);
xpath.compile(""/users/user[name=$name]"").evaluate(doc);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
tree.xpath(""/users/user[name='"" + name + ""']"")
```
Secure:
```
tree.xpath(""/users/user[name=$name]"", name=name)
```","XPath expressions evaluated against XML data must be fixed text with untrusted values supplied through variable bindings or a precompiled expression, never assembled by string concatenation.
Untrusted input is concatenated into an XPath expression, so quotes and XPath operators let an attacker change the node selection and read elements they should not be able to reach.
The XPath text is constant and untrusted values are bound as variables through a variable resolver or a precompiled expression, so input is always treated as a literal in the predicate.",Injection Prevention
CS-01.8,"**Security Rule:** NoSQL query values derived from user input must be coerced to their expected scalar type, and query operators must not be accepted from untrusted input, so a request cannot inject query logic.

**Vulnerability Pattern (Description):** A request body is passed straight into a NoSQL query, so an attacker submits an object containing query operators in place of a scalar and turns an equality check into an always-true comparison.

**Secure Pattern (Description):** Each query value is explicitly cast to the expected primitive type, or keys beginning with the operator prefix are rejected, so untrusted input can only ever be a literal value.

[[C# PATTERNS]]
Vulnerable:
```
collection.Find(Builders<User>.Filter.Eq(""user"", body[""user""]));
```
Secure:
```
collection.Find(Builders<User>.Filter.Eq(""user"", body[""user""].ToString()));
```

[[GENERIC PATTERNS]]
Vulnerable:
```
find({ user: requestBody.user, pass: requestBody.pass })
```
Secure:
```
find({ user: asString(requestBody.user), pass: asString(requestBody.pass) })
```

[[JAVA PATTERNS]]
Vulnerable:
```
coll.find(new Document(""user"", body.get(""user"")));
```
Secure:
```
coll.find(new Document(""user"", String.valueOf(body.get(""user""))));
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
User.findOne({ user: req.body.user, pass: req.body.pass });
```
Secure:
```
User.findOne({ user: String(req.body.user), pass: String(req.body.pass) });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
db.users.find_one({""user"": data[""user""], ""pass"": data[""pass""]})
```
Secure:
```
db.users.find_one({""user"": str(data[""user""]), ""pass"": str(data[""pass""])})
```","NoSQL query values derived from user input must be coerced to their expected scalar type, and query operators must not be accepted from untrusted input, so a request cannot inject query logic.
A request body is passed straight into a NoSQL query, so an attacker submits an object containing query operators in place of a scalar and turns an equality check into an always-true comparison.
Each query value is explicitly cast to the expected primitive type, or keys beginning with the operator prefix are rejected, so untrusted input can only ever be a literal value.",Injection Prevention
CS-01.9,"**Security Rule:** Template source must always be a fixed, trusted string, and untrusted input must be supplied only as render-time data, never concatenated into the template that the engine compiles.

**Vulnerability Pattern (Description):** Untrusted input is concatenated into the template string before it is compiled, so template-engine syntax in the input is evaluated as code and can run on the server.

**Secure Pattern (Description):** The template is loaded from a fixed file or constant, and untrusted values are passed through the context or model map, so the engine treats them as data placeholders only.

[[C# PATTERNS]]
Vulnerable:
```
var html = Engine.Razor.RunCompile(""Hi "" + name, ""key"", null, null);
```
Secure:
```
var html = Engine.Razor.RunCompile(""Hi @Model.Name"", ""key"", null,
                                    new { Name = name });
```

[[GENERIC PATTERNS]]
Vulnerable:
```
render(compileTemplate(""Hello "" + userInput))
```
Secure:
```
render(compileTemplate(""Hello {{ name }}""), name=userInput)
```

[[JAVA PATTERNS]]
Vulnerable:
```
Template t = engine.createTemplate(""Hi "" + name);
```
Secure:
```
Template t = engine.getTemplate(""greeting.ftl"");  // fixed, name as model
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const out = ejs.render(""Welcome "" + req.query.name);
```
Secure:
```
const out = ejs.render(""Welcome <%= name %>"", { name: req.query.name });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
Template(""Hi "" + request.args[""name""]).render()
```
Secure:
```
Template(""Hi {{ name }}"").render(name=request.args[""name""])
```","Template source must always be a fixed, trusted string, and untrusted input must be supplied only as render-time data, never concatenated into the template that the engine compiles.
Untrusted input is concatenated into the template string before it is compiled, so template-engine syntax in the input is evaluated as code and can run on the server.
The template is loaded from a fixed file or constant, and untrusted values are passed through the context or model map, so the engine treats them as data placeholders only.",Injection Prevention
CS-01.10,"**Security Rule:** Every place where data crosses into an interpreter must use a safe API or context-specific escaping, and input should additionally be validated against an allowlist as a second layer of defense.

**Vulnerability Pattern (Description):** Untrusted input is passed to an interpreter with no parameterization and no input validation, so a single missing escape anywhere in the path allows the input to be parsed as command, query, or markup syntax.

**Secure Pattern (Description):** The interpreter is invoked through a parameterized or escaping-aware API, and the input is first validated against an allowlist of expected values, format, type, and length so malformed input is rejected early.

[[C# PATTERNS]]
Vulnerable:
```
Handle(Request.Query[""mode""]);
```
Secure:
```
var mode = Request.Query[""mode""].ToString();
if (!AllowedModes.Contains(mode)) return BadRequest();
Handle(mode);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
useInInterpreter(rawInput)            # no validation, no escaping
```
Secure:
```
if matchesAllowlist(rawInput): useViaSafeApi(rawInput)
```

[[JAVA PATTERNS]]
Vulnerable:
```
process(request.getParameter(""type""));
```
Secure:
```
String type = request.getParameter(""type"");
if (!ALLOWED_TYPES.contains(type)) throw new BadRequestException();
process(type);
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
lookup(req.query.code);
```
Secure:
```
if (!/^[A-Z]{3}$/.test(req.query.code)) return res.sendStatus(400);
lookup(req.query.code);
```

[[PYTHON PATTERNS]]
Vulnerable:
```
run_report(request.args[""region""])
```
Secure:
```
region = request.args[""region""]
if region not in ALLOWED_REGIONS:
    abort(400)
run_report(region)
```","Every place where data crosses into an interpreter must use a safe API or context-specific escaping, and input should additionally be validated against an allowlist as a second layer of defense.
Untrusted input is passed to an interpreter with no parameterization and no input validation, so a single missing escape anywhere in the path allows the input to be parsed as command, query, or markup syntax.
The interpreter is invoked through a parameterized or escaping-aware API, and the input is first validated against an allowlist of expected values, format, type, and length so malformed input is rejected early.",Injection Prevention
CS-02.1,"**Security Rule:** Passwords must be stored using a memory-hard, salted, adaptive password-hashing function such as Argon2id, scrypt, or bcrypt — never a plain or fast cryptographic hash.

**Vulnerability Pattern (Description):** Passwords are stored in plaintext or hashed with a fast general purpose digest such as MD5, SHA-1, or SHA-256, so a database leak lets an attacker recover credentials with offline brute force.

**Secure Pattern (Description):** Each password is run through a slow, salted, memory-hard hashing function with sensible work parameters, so even leaked hashes are expensive to crack one at a time.

[[C# PATTERNS]]
Vulnerable:
```
var hash = Convert.ToHexString(SHA256.HashData(bytes));
```
Secure:
```
var hash = new PasswordHasher<User>().HashPassword(user, password);
```

[[GENERIC PATTERNS]]
Vulnerable:
```
stored = sha256(password)
```
Secure:
```
stored = argon2id_hash(password)   # per-password salt, tuned cost
```

[[JAVA PATTERNS]]
Vulnerable:
```
String hash = DigestUtils.sha256Hex(password);
```
Secure:
```
String hash = new Argon2PasswordEncoder(16, 32, 1, 19456, 2).encode(password);
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
const hash = crypto.createHash(""sha256"").update(password).digest(""hex"");
```
Secure:
```
const hash = await argon2.hash(password, { type: argon2.argon2id });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
digest = hashlib.sha256(password.encode()).hexdigest()
```
Secure:
```
from argon2 import PasswordHasher
digest = PasswordHasher().hash(password)
```","Passwords must be stored using a memory-hard, salted, adaptive password-hashing function such as Argon2id, scrypt, or bcrypt — never a plain or fast cryptographic hash.
Passwords are stored in plaintext or hashed with a fast general purpose digest such as MD5, SHA-1, or SHA-256, so a database leak lets an attacker recover credentials with offline brute force.
Each password is run through a slow, salted, memory-hard hashing function with sensible work parameters, so even leaked hashes are expensive to crack one at a time.",Authentication
CS-02.2,"**Security Rule:** Password verification must compare a candidate against the stored hash using the hashing library's own constant-time verify function, never by re-hashing and comparing strings directly.

**Vulnerability Pattern (Description):** The submitted password is re-hashed and the result is compared to the stored value with an ordinary equality check that returns early, leaking timing information about how many characters matched.

**Secure Pattern (Description):** The password library's verify routine is used, which performs a constant-time comparison and transparently handles the embedded salt and work parameters.

[[C# PATTERNS]]
Vulnerable:
```
if (Sha256Hex(input) == stored) Login();
```
Secure:
```
var ok = new PasswordHasher<User>()
    .VerifyHashedPassword(user, stored, input) != PasswordVerificationResult.Failed;
```

[[GENERIC PATTERNS]]
Vulnerable:
```
if hash(input) == storedHash: login()
```
Secure:
```
if passwordHasher.verify(storedHash, input): login()
```

[[JAVA PATTERNS]]
Vulnerable:
```
if (DigestUtils.sha256Hex(input).equals(stored)) login();
```
Secure:
```
if (passwordEncoder.matches(input, stored)) login();
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
if (sha256(input) === storedHash) login();
```
Secure:
```
if (await argon2.verify(storedHash, input)) login();
```

[[PYTHON PATTERNS]]
Vulnerable:
```
if hashlib.sha256(input.encode()).hexdigest() == stored: login()
```
Secure:
```
from argon2 import PasswordHasher
if PasswordHasher().verify(stored, input): login()
```","Password verification must compare a candidate against the stored hash using the hashing library's own constant-time verify function, never by re-hashing and comparing strings directly.
The submitted password is re-hashed and the result is compared to the stored value with an ordinary equality check that returns early, leaking timing information about how many characters matched.
The password library's verify routine is used, which performs a constant-time comparison and transparently handles the embedded salt and work parameters.",Authentication
CS-02.3,"**Security Rule:** Failed login responses must be generic and identical whether the username, the password, or both were wrong, so they cannot be used to confirm which accounts exist.

**Vulnerability Pattern (Description):** The login endpoint returns a distinct message such as no such user versus wrong password, letting an attacker enumerate valid accounts before attempting a password attack.

**Secure Pattern (Description):** Every authentication failure returns one constant message and one status code, and the code path takes a similar amount of time regardless of whether the account exists.

[[C# PATTERNS]]
Vulnerable:
```
if (user == null) return Unauthorized(""No such user"");
```
Secure:
```
if (user == null || !ok) return Unauthorized(""Invalid username or password"");
```

[[GENERIC PATTERNS]]
Vulnerable:
```
if not user: return ""No account with that email""
if not ok:   return ""Incorrect password""
```
Secure:
```
if not user or not ok: return ""Invalid email or password""
```

[[JAVA PATTERNS]]
Vulnerable:
```
if (user == null) return error(""Account does not exist"");
```
Secure:
```
if (user == null || !ok) return error(""Invalid username or password"");
```

[[JAVASCRIPT PATTERNS]]
Vulnerable:
```
if (!user) return res.status(404).json({ error: ""User not found"" });
```
Secure:
```
if (!user || !ok) return res.status(401).json({ error: ""Invalid credentials"" });
```

[[PYTHON PATTERNS]]
Vulnerable:
```
if user is None:
    return jsonify(error=""Unknown username""), 404
```
Secure:
```
if user is None or not verify(user, pw):
    return jsonify(error=""Invalid username or password""), 401
```","Failed login responses must be generic and identical whether the username, the password, or both were wrong, so they cannot be used to confirm which accounts exist.
The login endpoint returns a distinct message such as no such user versus wrong password, letting an attacker enumerate valid accounts before attempting a password attack.
Every authentication failure returns one constant message and one status code, and the code path takes a similar amount of time regardless of whether the account exists.",Authentication
